据介绍。
0	 HED	 -1	 据	 p
5	 WP	 6	 “	 wp
6	 HED	 -1	 是	 v
7	 ADV	 8	 不	 d
8	 VOB	 6	 是	 v
9	 VOB	 8	 马云	 n
10	 WP	 8	 ”	 wp
11	 WP	 6	 。	 wp

蚂蚁金服方面表示。
0	 ATT	 1	 蚂蚁	 n
1	 ATT	 2	 金服	 n
2	 SBV	 3	 方面	 n
3	 HED	 -1	 表示	 v
4	 WP	 3	 。	 wp

目前该刷脸支付技术虽然还没有正式投入商用。
0	 ADV	 3	 目前	 nt
1	 ATT	 2	 该	 r
2	 SBV	 3	 刷脸	 n
3	 HED	 -1	 支付	 v
4	 VOB	 3	 技术	 n
5	 ADV	 9	 虽然	 c
6	 ADV	 7	 还	 d
7	 ADV	 9	 没有	 d
8	 ADV	 9	 正式	 a
9	 COO	 3	 投入	 v
10	 VOB	 9	 商用	 v
11	 WP	 3	 。	 wp

但是未来将被应用于阿里巴巴在全球的支付、开户认证等业务领域。
0	 ADV	 4	 但是	 c
1	 ADV	 4	 未来	 nt
2	 ADV	 4	 将	 d
3	 ADV	 4	 被	 p
4	 HED	 -1	 应用	 v
5	 CMP	 4	 于	 p
6	 SBV	 10	 阿里巴巴	 nh
7	 ADV	 10	 在	 p
8	 POB	 7	 全球	 n
9	 RAD	 7	 的	 u
10	 ATT	 16	 支付	 v
11	 WP	 12	 、	 wp
12	 COO	 10	 开户	 v
13	 VOB	 12	 认证	 v
14	 RAD	 10	 等	 u
15	 ATT	 16	 业务	 n
16	 POB	 5	 领域	 n
17	 WP	 4	 。	 wp

昨天。
0	 HED	 -1	 昨天	 nt
1	 WP	 0	 。	 wp

在秀了刷脸支付之后。
0	 HED	 -1	 在	 p
1	 ATT	 3	 秀	 a
2	 RAD	 1	 了	 u
3	 FOB	 4	 刷脸	 n
4	 ATT	 5	 支付	 v
5	 POB	 0	 之后	 nd
6	 WP	 0	 。	 wp

马云还特别把从淘宝网买到的、与德国总理默克尔出生年月相同的德国日历赠与默克尔。
0	 SBV	 20	 马云	 nh
1	 ADV	 20	 还	 d
2	 ADV	 20	 特别	 d
3	 ADV	 20	 把	 p
4	 ADV	 6	 从	 p
5	 POB	 4	 淘宝网	 n
6	 SBV	 16	 买	 v
7	 CMP	 6	 到	 v
8	 RAD	 6	 的	 u
9	 WP	 14	 、	 wp
10	 ADV	 14	 与	 p
11	 ATT	 12	 德国	 ns
12	 ATT	 13	 总理	 n
13	 POB	 10	 默克尔	 nh
14	 ATT	 15	 出生	 v
15	 SBV	 16	 年月	 n
16	 ATT	 19	 相同	 a
17	 RAD	 16	 的	 u
18	 ATT	 19	 德国	 ns
19	 POB	 3	 日历	 n
20	 HED	 -1	 赠与	 v
21	 VOB	 20	 默克尔	 nh
22	 WP	 20	 。	 wp

