【 文献号 】1-60【原文出处】毛泽东思想研究【原刊地名】成都【原刊期号】199601【原刊页号】43-45,50【分 类 号】K1【分 类 名】历史学【 作  者 】王子今【复印期号】199606【 标  题 】毛泽东的历史观对中国史学研究的影响【 正  文 】    历史学对于马克思主义理论体系的构成有十分重要的意义。
0	 ATT	 38	 ﻿	 v
28	 ADV	 29	 更	 d
29	 COO	 11	 重视	 v
30	 VOB	 29	 历史	 n
31	 WP	 7	 ……	 wp

”〔1〕恩格斯又曾经指出：“历史就是我们的一切， 我们比任何一个哲学学派，甚至比黑格尔，都更重视历史……”〔2 〕恩格斯在评价马克思充实人类文化宝库的伟大历史贡献时还说道：“在马克思使自己的名字永垂于科学史册的许多重要发现中”，“第一点就是他在整个世界观上实现了变革。
0	 WP	 2	 ”	 wp
1	 WP	 2	 〔	 wp
2	 ADV	 18	 2	 m
3	 WP	 18	 〕	 wp
4	 SBV	 18	 恩格斯	 nh
5	 ADV	 18	 在	 p
6	 ATT	 16	 评价	 v
7	 SBV	 8	 马克思	 nh
8	 ATT	 14	 充实	 v
9	 ATT	 10	 人类	 n
10	 ATT	 11	 文化	 n
11	 VOB	 8	 宝库	 n
12	 RAD	 8	 的	 u
13	 ATT	 14	 伟大	 a
14	 ATT	 15	 历史	 n
15	 VOB	 6	 贡献	 n
16	 POB	 5	 时	 n
17	 ADV	 18	 还	 d
18	 HED	 -1	 说道	 v
19	 WP	 18	 ：	 wp
20	 WP	 21	 “	 wp
21	 VOB	 18	 在	 p
22	 SBV	 23	 马克思	 nh
23	 ATT	 35	 使	 v
24	 ATT	 26	 自己	 r
25	 RAD	 24	 的	 u
26	 DBL	 23	 名字	 n
27	 VOB	 23	 永垂	 v
28	 CMP	 27	 于	 p
29	 ATT	 30	 科学	 n
30	 POB	 28	 史册	 n
31	 RAD	 27	 的	 u
32	 ATT	 33	 许多	 m
33	 ADV	 34	 重要	 a
34	 VOB	 23	 发现	 v
35	 POB	 21	 中	 nd
36	 WP	 21	 ”	 wp
37	 WP	 18	 ，	 wp
38	 WP	 42	 “	 wp
39	 ATT	 40	 第一	 m
40	 SBV	 42	 点	 q
41	 ADV	 42	 就	 d
42	 COO	 18	 是	 v
43	 SBV	 48	 他	 r
44	 ADV	 48	 在	 p
45	 ATT	 46	 整个	 b
46	 ATT	 47	 世界观	 n
47	 POB	 44	 上	 nd
48	 VOB	 42	 实现	 v
49	 RAD	 48	 了	 u
50	 VOB	 48	 变革	 v
51	 WP	 18	 。	 wp

”“历史破天荒第一次被安置在它的真正基础上。
0	 WP	 7	 ”	 wp
1	 WP	 7	 “	 wp
2	 ATT	 3	 历史	 n
3	 ADV	 7	 破天荒	 i
4	 ATT	 5	 第一	 m
5	 ADV	 7	 次	 q
6	 ADV	 7	 被	 p
7	 HED	 -1	 安置	 v
8	 CMP	 7	 在	 p
9	 ATT	 12	 它	 r
10	 RAD	 9	 的	 u
11	 ATT	 12	 真正	 b
12	 ATT	 13	 基础	 n
13	 POB	 8	 上	 nd
14	 WP	 7	 。	 wp

 ”〔3〕    对于历史学在所有人文成就中位置的重视，或许也是马克思主义与中华民族优秀文化传统得以结合的思想基点之一。
0	 WP	 13	 ”	 wp
1	 WP	 13	 〔	 wp
2	 ADV	 13	 3	 m
3	 WP	 13	 〕	 wp
4	 ADV	 13	 对于	 p
5	 ATT	 11	 历史学	 n
6	 ATT	 11	 在	 p
7	 ATT	 9	 所有	 b
8	 ATT	 9	 人文	 n
9	 ATT	 10	 成就	 n
10	 POB	 6	 中	 nd
11	 POB	 4	 位置	 n
12	 RAD	 4	 的	 u
13	 HED	 -1	 重视	 v
14	 WP	 13	 ，	 wp
15	 ADV	 17	 或许	 d
16	 ADV	 17	 也	 d
17	 VOB	 13	 是	 v
18	 SBV	 25	 马克思主义	 n
19	 LAD	 23	 与	 p
20	 ATT	 23	 中华民族	 n
21	 ATT	 23	 优秀	 a
22	 ATT	 23	 文化	 n
23	 COO	 18	 传统	 n
24	 ADV	 25	 得以	 v
25	 ATT	 28	 结合	 v
26	 RAD	 25	 的	 u
27	 ATT	 28	 思想	 n
28	 ATT	 29	 基点	 n
29	 VOB	 17	 之一	 r
30	 WP	 13	 。	 wp

    毛泽东在革命斗争实践中曾反复强调研究我们民族的历史，对于取得革命成功的重要意义。
0	 SBV	 8	 毛泽东	 nh
1	 ADV	 8	 在	 p
2	 ATT	 5	 革命	 v
3	 COO	 2	 斗争	 v
4	 COO	 2	 实践	 v
5	 POB	 1	 中	 nd
6	 ADV	 8	 曾	 d
7	 ADV	 8	 反复	 d
8	 HED	 -1	 强调	 v
9	 VOB	 8	 研究	 v
10	 ATT	 11	 我们	 r
11	 ATT	 13	 民族	 n
12	 RAD	 11	 的	 u
13	 VOB	 9	 历史	 n
14	 WP	 9	 ，	 wp
15	 ADV	 17	 对于	 p
16	 POB	 15	 取得	 v
17	 COO	 9	 革命	 v
18	 ATT	 21	 成功	 a
19	 RAD	 18	 的	 u
20	 ATT	 21	 重要	 a
21	 VOB	 17	 意义	 n
22	 WP	 8	 。	 wp

他指出，“指导一个伟大的革命运动的政党，如果没有革命理论，没有历史知识，没有对于实际运动的深刻的了解，要取得胜利是不可能的。
0	 SBV	 1	 他	 r
1	 HED	 -1	 指出	 v
2	 WP	 1	 ，	 wp
3	 WP	 4	 “	 wp
4	 VOB	 1	 指导	 v
5	 ATT	 8	 一个	 m
6	 ADV	 8	 伟大	 a
7	 RAD	 6	 的	 u
8	 VOB	 4	 革命	 v
9	 ATT	 11	 运动	 v
10	 RAD	 9	 的	 u
11	 VOB	 8	 政党	 n
12	 WP	 8	 ，	 wp
13	 ADV	 14	 如果	 c
14	 COO	 8	 没有	 v
15	 ATT	 16	 革命	 v
16	 VOB	 14	 理论	 n
17	 WP	 14	 ，	 wp
18	 COO	 14	 没有	 v
19	 ATT	 20	 历史	 n
20	 VOB	 18	 知识	 n
21	 WP	 14	 ，	 wp
22	 COO	 14	 没有	 v
23	 ADV	 29	 对于	 p
24	 ADV	 25	 实际	 a
25	 POB	 23	 运动	 v
26	 RAD	 23	 的	 u
27	 ADV	 29	 深刻	 a
28	 RAD	 27	 的	 u
29	 VOB	 22	 了解	 v
30	 WP	 14	 ，	 wp
31	 ADV	 32	 要	 v
32	 SBV	 34	 取得	 v
33	 VOB	 32	 胜利	 v
34	 COO	 14	 是	 v
35	 ADV	 36	 不	 d
36	 VOB	 34	 可能	 v
37	 RAD	 36	 的	 u
38	 WP	 1	 。	 wp

”因此，除了必须“普遍地深入地研究马克思列宁主义的理论”而外，“学习我们的历史遗产，用马克思主义的方法给以批判的总结，是我们学习的另一任务”。
0	 ADV	 19	 ”	 wp
1	 ADV	 19	 因此	 c
2	 WP	 1	 ，	 wp
3	 ADV	 19	 除了	 p
4	 ADV	 10	 必须	 d
5	 WP	 10	 “	 wp
6	 ADV	 10	 普遍	 a
7	 RAD	 6	 地	 u
8	 ADV	 10	 深入	 a
9	 RAD	 8	 地	 u
10	 ATT	 13	 研究	 v
11	 VOB	 10	 马克思列宁主义	 n
12	 RAD	 10	 的	 u
13	 ATT	 16	 理论	 n
14	 WP	 13	 ”	 wp
15	 CMP	 13	 而	 c
16	 POB	 3	 外	 nd
17	 WP	 3	 ，	 wp
18	 WP	 19	 “	 wp
19	 HED	 -1	 学习	 v
20	 ATT	 23	 我们	 r
21	 RAD	 20	 的	 u
22	 ATT	 23	 历史	 n
23	 VOB	 19	 遗产	 n
24	 WP	 19	 ，	 wp
25	 ADV	 30	 用	 p
26	 ATT	 28	 马克思主义	 n
27	 RAD	 26	 的	 u
28	 POB	 25	 方法	 n
29	 COO	 25	 给以	 v
30	 ADV	 32	 批判	 v
31	 RAD	 30	 的	 u
32	 COO	 19	 总结	 v
33	 WP	 19	 ，	 wp
34	 COO	 19	 是	 v
35	 SBV	 36	 我们	 r
36	 ATT	 40	 学习	 v
37	 RAD	 36	 的	 u
38	 ATT	 39	 另	 r
39	 ATT	 40	 一	 m
40	 VOB	 34	 任务	 n
41	 WP	 40	 ”	 wp
42	 WP	 19	 。	 wp

他又指出：“我们这个民族有数千年的历史，有它的特点，有它的许多珍贵品。
0	 SBV	 2	 他	 r
1	 ADV	 2	 又	 d
2	 HED	 -1	 指出	 v
3	 WP	 2	 ：	 wp
4	 WP	 8	 “	 wp
5	 ATT	 7	 我们	 r
6	 ATT	 7	 这个	 r
7	 SBV	 8	 民族	 n
8	 VOB	 2	 有	 v
9	 ATT	 10	 数千	 m
10	 ATT	 12	 年	 q
11	 RAD	 10	 的	 u
12	 VOB	 8	 历史	 n
13	 WP	 8	 ，	 wp
14	 COO	 8	 有	 v
15	 ATT	 17	 它	 r
16	 RAD	 15	 的	 u
17	 VOB	 14	 特点	 n
18	 WP	 14	 ，	 wp
19	 COO	 14	 有	 v
20	 ATT	 23	 它	 r
21	 RAD	 20	 的	 u
22	 ATT	 23	 许多	 m
23	 VOB	 19	 珍贵品	 n
24	 WP	 2	 。	 wp

对于这些，我们还是小学生。
0	 ADV	 4	 对于	 p
1	 POB	 0	 这些	 r
2	 WP	 0	 ，	 wp
3	 SBV	 4	 我们	 r
4	 HED	 -1	 还是	 v
5	 VOB	 4	 小学生	 n
6	 WP	 4	 。	 wp

今天的中国是历史的中国的一个发展；我们是马克思主义的历史主义者，我们不应当割断历史。
0	 ATT	 2	 今天	 nt
1	 RAD	 0	 的	 u
2	 SBV	 3	 中国	 ns
3	 HED	 -1	 是	 v
4	 ATT	 9	 历史	 n
5	 RAD	 4	 的	 u
6	 ATT	 9	 中国	 ns
7	 RAD	 6	 的	 u
8	 ATT	 9	 一个	 m
9	 VOB	 3	 发展	 v
10	 WP	 3	 ；	 wp

今天的中国是历史的中国的一个发展；我们是马克思主义的历史主义者，我们不应当割断历史。
0	 SBV	 1	 我们	 r
1	 HED	 -1	 是	 v
2	 ATT	 4	 马克思主义	 n
3	 RAD	 2	 的	 u
4	 VOB	 1	 历史主义者	 n
5	 WP	 1	 ，	 wp
6	 SBV	 9	 我们	 r
7	 ADV	 8	 不	 d
8	 ADV	 9	 应当	 v
9	 COO	 1	 割断	 v
10	 VOB	 9	 历史	 n
11	 WP	 1	 。	 wp

从孔夫子到孙中山，我们应当给以总结，承继这一份珍贵的遗产。
0	 ADV	 2	 从	 p
1	 POB	 0	 孔夫子	 nh
2	 ADV	 7	 到	 p
3	 POB	 2	 孙中山	 nh
4	 WP	 2	 ，	 wp
5	 SBV	 7	 我们	 r
6	 ADV	 7	 应当	 v
7	 HED	 -1	 给以	 v
8	 VOB	 7	 总结	 v
9	 WP	 7	 ，	 wp
10	 COO	 7	 承继	 v
11	 ATT	 12	 这	 r
12	 ATT	 13	 一	 m
13	 ATT	 16	 份	 q
14	 ATT	 16	 珍贵	 a
15	 RAD	 14	 的	 u
16	 VOB	 10	 遗产	 n
17	 WP	 7	 。	 wp

这对于指导当前的伟大的运动，是有重要的帮助的。
0	 SBV	 9	 这	 r
1	 ADV	 9	 对于	 p
2	 POB	 1	 指导	 v
3	 ATT	 7	 当前	 nt
4	 RAD	 3	 的	 u
5	 ADV	 7	 伟大	 a
6	 RAD	 5	 的	 u
7	 VOB	 2	 运动	 v
8	 WP	 1	 ，	 wp
9	 HED	 -1	 是	 v
10	 VOB	 9	 有	 v
11	 ADV	 13	 重要	 a
12	 RAD	 11	 的	 u
13	 VOB	 10	 帮助	 v
14	 RAD	 10	 的	 u
15	 WP	 9	 。	 wp

”〔4〕    毛泽东正是用历史主义看中国社会，确定了“唯物史观是吾党哲学的根据”〔5〕，在革命斗争历程中，既注重主观和客观、 理论和实践、知和行的具体的历史的统一，又反对一切离开具体历史的“左”的或右的错误思想。
0	 SBV	 6	 ”	 wp
1	 WP	 5	 〔	 wp
2	 ATT	 3	 4	 m
3	 ADV	 5	 〕	 q
4	 SBV	 5	 毛泽东	 nh
5	 ADV	 6	 正是	 v
6	 ADV	 8	 用	 p
7	 POB	 6	 历史主义	 n
8	 HED	 -1	 看	 v
9	 ATT	 10	 中国	 ns
10	 VOB	 8	 社会	 n
11	 WP	 8	 ，	 wp
12	 COO	 8	 确定	 v
13	 RAD	 12	 了	 u
14	 WP	 16	 “	 wp
15	 SBV	 16	 唯物史观	 i
16	 ATT	 21	 是	 v
17	 ATT	 18	 吾	 r
18	 ATT	 19	 党	 n
19	 ATT	 21	 哲学	 n
20	 RAD	 19	 的	 u
21	 VOB	 12	 根据	 n
22	 WP	 21	 ”	 wp
23	 WP	 25	 〔	 wp
24	 ATT	 25	 5	 m
25	 CMP	 21	 〕	 q
26	 WP	 8	 ，	 wp
27	 ADV	 34	 在	 p
28	 ATT	 30	 革命	 v
29	 COO	 28	 斗争	 v
30	 ATT	 31	 历程	 n
31	 POB	 27	 中	 nd
32	 WP	 27	 ，	 wp
33	 ADV	 34	 既	 c
34	 COO	 8	 注重	 v
35	 ATT	 47	 主观	 n
36	 LAD	 37	 和	 c
37	 COO	 35	 客观	 n
38	 WP	 39	 、	 wp
39	 COO	 35	 理论	 n
40	 LAD	 41	 和	 c
41	 COO	 39	 实践	 v
42	 WP	 43	 、	 wp
43	 COO	 41	 知	 v
44	 LAD	 45	 和	 c
45	 COO	 41	 行	 v
46	 RAD	 35	 的	 u
47	 ATT	 49	 具体	 a
48	 RAD	 47	 的	 u
49	 ADV	 51	 历史	 n
50	 RAD	 49	 的	 u
51	 VOB	 34	 统一	 v
52	 WP	 34	 ，	 wp
53	 ADV	 54	 又	 c
54	 COO	 34	 反对	 v
55	 ATT	 68	 一切	 r
56	 ATT	 68	 离开	 v
57	 ATT	 58	 具体	 a
58	 VOB	 56	 历史	 n
59	 RAD	 56	 的	 u
60	 WP	 61	 “	 wp
61	 ATT	 68	 左	 a
62	 WP	 61	 ”	 wp
63	 RAD	 61	 的	 u
64	 LAD	 65	 或	 c
65	 ATT	 68	 右	 nd
66	 RAD	 65	 的	 u
67	 ATT	 68	 错误	 a
68	 VOB	 54	 思想	 n
69	 WP	 8	 。	 wp

在确定正确的政策和策略时，也十分注意借鉴历史经验，表现出雄略、机谋与善用等政治优势，从而指导人民革命取得成功的。
0	 ADV	 11	 在	 p
1	 ATT	 7	 确定	 v
2	 ATT	 4	 正确	 a
3	 RAD	 2	 的	 u
4	 VOB	 1	 政策	 n
5	 LAD	 6	 和	 c
6	 COO	 4	 策略	 n
7	 POB	 0	 时	 n
8	 WP	 0	 ，	 wp
9	 ADV	 11	 也	 d
10	 ADV	 11	 十分	 m
11	 HED	 -1	 注意	 v
12	 VOB	 11	 借鉴	 v
13	 ATT	 14	 历史	 n
14	 VOB	 12	 经验	 n
15	 WP	 12	 ，	 wp
16	 COO	 12	 表现	 v
17	 CMP	 16	 出	 v
18	 ATT	 25	 雄略	 n
19	 WP	 20	 、	 wp
20	 COO	 18	 机谋	 n
21	 LAD	 22	 与	 c
22	 COO	 18	 善用	 v
23	 RAD	 18	 等	 u
24	 ATT	 25	 政治	 n
25	 VOB	 16	 优势	 n
26	 WP	 12	 ，	 wp
27	 ADV	 28	 从而	 c
28	 COO	 12	 指导	 v
29	 SBV	 30	 人民	 n
30	 VOB	 28	 革命	 v
31	 SBV	 32	 取得	 v
32	 COO	 30	 成功	 a
33	 RAD	 30	 的	 u
34	 WP	 11	 。	 wp

他一生都在孜孜不倦地研究历史，不仅对于历来在中国备受重视的政治史具备丰厚渊博的知识并多有独特的卓见，且对于中国哲学史、中国文学史、中国军事史、中国农民战争史等也都有相当高的造诣，甚至就中国科学史、中国神话史、中国教育史、中国艺术史、中国社会生活史、中国宗教史等。
0	 SBV	 3	 他	 r
1	 ADV	 3	 一生	 n
2	 ADV	 3	 都	 d
3	 ADV	 6	 在	 d
4	 ADV	 6	 孜孜不倦	 i
5	 RAD	 4	 地	 u
6	 HED	 -1	 研究	 v
7	 VOB	 6	 历史	 n
8	 WP	 6	 ，	 wp
9	 ADV	 18	 不仅	 c
10	 ADV	 18	 对于	 p
11	 ADV	 14	 历来	 d
12	 ADV	 14	 在	 p
13	 POB	 12	 中国	 ns
14	 ATT	 17	 备受	 v
15	 VOB	 14	 重视	 v
16	 RAD	 14	 的	 u
17	 POB	 10	 政治史	 n
18	 COO	 6	 具备	 v
19	 ATT	 22	 丰厚	 a
20	 COO	 19	 渊博	 a
21	 RAD	 19	 的	 u
22	 VOB	 18	 知识	 n
23	 ADV	 25	 并	 c
24	 ADV	 25	 多	 d
25	 COO	 18	 有	 v
26	 ATT	 28	 独特	 a
27	 RAD	 26	 的	 u
28	 VOB	 25	 卓见	 i
29	 WP	 25	 ，	 wp
30	 ADV	 46	 且	 c
31	 ADV	 46	 对于	 p
32	 ATT	 33	 中国	 ns
33	 POB	 31	 哲学史	 n
34	 WP	 36	 、	 wp
35	 ATT	 36	 中国	 ns
36	 COO	 33	 文学史	 n
37	 WP	 39	 、	 wp
38	 ATT	 39	 中国	 ns
39	 COO	 33	 军事史	 n
40	 WP	 42	 、	 wp
41	 ATT	 42	 中国	 ns
42	 COO	 33	 农民战争史	 n
43	 RAD	 33	 等	 u
44	 ADV	 46	 也	 d
45	 ADV	 46	 都	 d
46	 COO	 25	 有	 v
47	 ADV	 48	 相当	 d
48	 ATT	 50	 高	 a
49	 RAD	 48	 的	 u
50	 VOB	 46	 造诣	 n
51	 WP	 25	 ，	 wp
52	 ADV	 53	 甚至	 c
53	 ADV	 72	 就	 p
54	 ATT	 55	 中国	 ns
55	 POB	 53	 科学史	 n
56	 WP	 58	 、	 wp
57	 ATT	 58	 中国	 ns
58	 COO	 55	 神话史	 n
59	 WP	 61	 、	 wp
60	 ATT	 61	 中国	 ns
61	 COO	 55	 教育史	 n
62	 WP	 64	 、	 wp
63	 ATT	 64	 中国	 ns
64	 COO	 55	 艺术史	 n
65	 WP	 68	 、	 wp
66	 ATT	 67	 中国	 ns
67	 ATT	 68	 社会	 n
68	 COO	 55	 生活史	 n
69	 WP	 71	 、	 wp
70	 ATT	 71	 中国	 ns
71	 COO	 55	 宗教史	 n
72	 RAD	 18	 等	 u
73	 WP	 6	 。	 wp

他也曾经发表过予学界以重要启示的十分精彩的新见。
0	 SBV	 3	 他	 r
1	 ADV	 3	 也	 d
2	 ADV	 3	 曾经	 d
3	 HED	 -1	 发表	 v
4	 RAD	 3	 过	 u
5	 COO	 3	 予	 v
6	 VOB	 5	 学界	 n
7	 ADV	 9	 以	 p
8	 POB	 7	 重要	 a
9	 ATT	 15	 启示	 v
10	 RAD	 9	 的	 u
11	 ADV	 12	 十分	 m
12	 ATT	 15	 精彩	 a
13	 RAD	 12	 的	 u
14	 ATT	 15	 新	 a
15	 COO	 5	 见	 v
16	 WP	 3	 。	 wp

正如有的学者所指出的，毛泽东的历史学素养，成为他得以“最充分发挥一个具有渊博学识（主要是中国旧学）的知识分子的领导作用，”从而“建立了自己的思想领导的威望”的重要条件之一。
0	 ADV	 1	 正	 d
1	 ADV	 5	 如	 v
2	 ATT	 3	 有的	 r
3	 SBV	 5	 学者	 n
4	 LAD	 5	 所	 u
5	 HED	 -1	 指出	 v
6	 RAD	 5	 的	 u
7	 WP	 5	 ，	 wp
8	 ATT	 11	 毛泽东	 nh
9	 RAD	 8	 的	 u
10	 ATT	 11	 历史学	 n
11	 SBV	 13	 素养	 n
12	 WP	 11	 ，	 wp
13	 VOB	 5	 成为	 v
14	 SBV	 15	 他	 r
15	 ADV	 19	 得以	 v
16	 WP	 18	 “	 wp
17	 ADV	 18	 最	 d
18	 ADV	 19	 充分	 a
19	 ATT	 50	 发挥	 v
20	 ATT	 31	 一个	 m
21	 ATT	 31	 具有	 v
22	 ATT	 23	 渊博	 a
23	 VOB	 21	 学识	 n
24	 WP	 26	 （	 wp
25	 ADV	 26	 主要	 d
26	 ATT	 28	 是	 v
27	 ATT	 28	 中国	 ns
28	 COO	 23	 旧学	 n
29	 WP	 23	 ）	 wp
30	 RAD	 21	 的	 u
31	 ATT	 34	 知识分子	 n
32	 RAD	 31	 的	 u
33	 ATT	 34	 领导	 v
34	 VOB	 19	 作用	 n
35	 WP	 19	 ，	 wp
36	 WP	 35	 ”	 wp
37	 LAD	 39	 从而	 c
38	 WP	 39	 “	 wp
39	 COO	 19	 建立	 v
40	 RAD	 39	 了	 u
41	 ATT	 44	 自己	 r
42	 RAD	 41	 的	 u
43	 ATT	 44	 思想	 n
44	 ATT	 46	 领导	 n
45	 RAD	 44	 的	 u
46	 VOB	 39	 威望	 n
47	 WP	 19	 ”	 wp
48	 RAD	 19	 的	 u
49	 ATT	 50	 重要	 a
50	 ATT	 51	 条件	 n
51	 VOB	 13	 之一	 r
52	 WP	 5	 。	 wp

〔6〕    毛泽东是一位对历史学有特殊偏爱的政治家。
0	 WP	 1	 〔	 wp
1	 ADV	 4	 6	 m
2	 WP	 4	 〕	 wp
3	 SBV	 4	 毛泽东	 nh
4	 HED	 -1	 是	 v
5	 ATT	 6	 一	 m
6	 ATT	 13	 位	 q
7	 ADV	 9	 对	 p
8	 POB	 7	 历史学	 n
9	 ATT	 13	 有	 v
10	 ADV	 11	 特殊	 a
11	 VOB	 9	 偏爱	 v
12	 RAD	 9	 的	 u
13	 VOB	 4	 政治家	 n
14	 WP	 4	 。	 wp

他在谈到自己读书时的感情倾向时说道：“一拿就是历史、小说、笔记，这些较柔和，理论书太硬。
0	 SBV	 11	 他	 r
1	 ADV	 11	 在	 p
2	 ATT	 10	 谈	 v
3	 CMP	 2	 到	 v
4	 SBV	 5	 自己	 r
5	 ATT	 6	 读书	 v
6	 ATT	 8	 时	 n
7	 RAD	 6	 的	 u
8	 ATT	 9	 感情	 n
9	 VOB	 2	 倾向	 n
10	 POB	 1	 时	 n
11	 HED	 -1	 说道	 v
12	 WP	 11	 ：	 wp
13	 WP	 15	 “	 wp
14	 ADV	 15	 一	 d
15	 VOB	 11	 拿	 v
16	 ADV	 17	 就	 d
17	 COO	 15	 是	 v
18	 VOB	 15	 历史	 n
19	 WP	 20	 、	 wp
20	 COO	 18	 小说	 n
21	 WP	 22	 、	 wp
22	 COO	 18	 笔记	 n
23	 WP	 15	 ，	 wp
24	 SBV	 26	 这些	 r
25	 ADV	 26	 较	 d
26	 COO	 15	 柔和	 a
27	 WP	 15	 ，	 wp
28	 ATT	 29	 理论	 n
29	 SBV	 31	 书	 n
30	 ADV	 31	 太	 d
31	 COO	 15	 硬	 a
32	 WP	 11	 。	 wp

”〔7〕他还曾经表示，他对于小说、笔记， 也往往是当作历史来读的。
0	 SBV	 7	 ”	 wp
1	 WP	 2	 〔	 wp
2	 ADV	 7	 7	 m
3	 WP	 7	 〕	 wp
4	 SBV	 7	 他	 r
5	 ADV	 7	 还	 d
6	 ADV	 7	 曾经	 d
7	 HED	 -1	 表示	 v
8	 WP	 7	 ，	 wp
9	 SBV	 17	 他	 r
10	 ADV	 17	 对于	 p
11	 POB	 10	 小说	 n
12	 WP	 13	 、	 wp
13	 COO	 11	 笔记	 n
14	 WP	 10	 ，	 wp
15	 ADV	 17	 也	 d
