计算机应用COMPUTER APPLICATIONS1999年 第19卷 第6期 Vol.19 No.6 1999Windows 95下串行通信编程技术及其实现郭峰林　朱才连　　摘　要　本文首先简单讨论MSDOS、16位Windows和Windows95下的通信编程差别，然后着重讲述32位Windows95 环境下的通信编程技术，最后给出利用该技术实现串行通信的实例。
0	 ATT	 1	 ﻿	 v
26	 COO	 22	 读	 v
27	 COO	 26	 写	 v
28	 RAD	 22	 等	 u
29	 ATT	 36	 操作	 v
30	 LAD	 31	 与	 c
31	 COO	 29	 操作	 v
32	 ATT	 33	 普通	 a
33	 VOB	 29	 文件	 n
34	 RAD	 29	 的	 u
35	 ATT	 36	 API	 ws
36	 SBV	 37	 函数	 n
37	 HED	 3	 相同	 a
38	 WP	 37	 ，	 wp
39	 COO	 37	 如	 v
40	 POB	 39	 CreateFile	 ws
41	 WP	 3	 (	 wp
42	 WP	 3	 )	 wp
43	 WP	 44	 、	 wp
44	 COO	 3	 CloseHandel	 ws
45	 WP	 3	 (	 wp
46	 WP	 3	 )	 wp
47	 WP	 48	 、	 wp
48	 COO	 3	 ReadFile	 nh
49	 WP	 52	 (	 wp
50	 WP	 52	 )	 wp
51	 WP	 52	 、	 wp
52	 COO	 48	 WriteFile	 nh
53	 WP	 3	 (	 wp
54	 WP	 3	 )	 wp
55	 WP	 3	 ，	 wp
56	 ADV	 57	 正是	 v
57	 COO	 3	 由于	 c
58	 ATT	 59	 这些	 r
59	 ATT	 62	 函数	 n
60	 RAD	 59	 的	 u
61	 WP	 62	 “	 wp
62	 POB	 57	 多态性	 n
63	 WP	 62	 ”	 wp
64	 WP	 3	 ，	 wp
65	 ADV	 68	 同时	 c
66	 ADV	 67	 还	 d
67	 ADV	 68	 由于	 p
68	 COO	 3	 需要	 v
69	 ATT	 73	 结合	 v
70	 VOB	 69	 Windows95	 ws
71	 RAD	 69	 的	 u
72	 ATT	 73	 线程	 n
73	 ATT	 79	 编程	 n
74	 WP	 76	 、	 wp
75	 SBV	 76	 事件	 n
76	 COO	 73	 驱动	 v
77	 RAD	 73	 等	 u
78	 ATT	 79	 新	 a
79	 VOB	 68	 技术	 n
80	 WP	 3	 ，	 wp
81	 ADV	 82	 因而	 c
82	 COO	 3	 使得	 v
83	 ATT	 84	 Windows95	 ws
84	 ATT	 86	 下	 nd
85	 RAD	 84	 的	 u
86	 ATT	 88	 串行口	 ns
87	 ATT	 88	 通信	 v
88	 DBL	 82	 编程	 n
89	 ADV	 90	 比较	 d
90	 VOB	 82	 复杂	 a
91	 WP	 3	 。	 wp

3　Windows95下串行通信API函数　　在Windows95中将串行口与文件的统一了起来，对它们的打开、读、写、关闭等操作都使用相同的API函数，但是它们之间又有差别，譬如串行口不能象文件一样可以被删除，这些差别体现在API函数中部分参数的设置上。
0	 ATT	 1	 3	 m
1	 ATT	 7	 	 q
2	 ATT	 3	 Windows95	 ws
3	 ADV	 4	 下	 nd
4	 ATT	 7	 串行	 v
5	 COO	 4	 通信	 v
6	 ATT	 7	 API	 ws
7	 SBV	 17	 函数	 n
8	 SBV	 17	 	 v
9	 ADV	 12	 在	 p
10	 ATT	 11	 Windows95	 ws
11	 POB	 9	 中将	 n
12	 VOB	 8	 串	 v
13	 VOB	 12	 行口	 n
14	 ADV	 17	 与	 p
15	 POB	 14	 文件	 n
16	 RAD	 14	 的	 u
17	 HED	 -1	 统一	 v
18	 RAD	 17	 了	 u
19	 CMP	 17	 起来	 v
20	 WP	 17	 ，	 wp
21	 ADV	 32	 对	 p
22	 ATT	 24	 它们	 r
23	 RAD	 22	 的	 u
24	 POB	 21	 打开	 v
25	 WP	 26	 、	 wp
26	 COO	 24	 读	 v
27	 WP	 28	 、	 wp
28	 COO	 24	 写	 v
29	 WP	 30	 、	 wp
30	 COO	 24	 关闭	 v
31	 RAD	 24	 等	 u
32	 COO	 17	 操作	 v
33	 ADV	 34	 都	 d
34	 COO	 32	 使用	 v
35	 ATT	 38	 相同	 a
36	 RAD	 35	 的	 u
37	 ATT	 38	 API	 ws
38	 VOB	 34	 函数	 n
39	 WP	 17	 ，	 wp
40	 ADV	 44	 但是	 c
41	 ATT	 42	 它们	 r
42	 SBV	 44	 之间	 nd
43	 ADV	 44	 又	 d
44	 COO	 17	 有	 v
45	 VOB	 44	 差别	 n
46	 WP	 44	 ，	 wp
47	 FOB	 56	 譬如	 v
48	 VOB	 47	 串行口	 n
49	 ADV	 50	 不	 d
50	 ADV	 51	 能	 v
51	 COO	 47	 象	 v
52	 VOB	 51	 文件	 n
53	 RAD	 47	 一样	 u
54	 ADV	 56	 可以	 v
55	 ADV	 56	 被	 p
56	 COO	 44	 删除	 v
57	 WP	 17	 ，	 wp
58	 ATT	 59	 这些	 r
59	 SBV	 60	 差别	 n
60	 COO	 17	 体现	 v
61	 CMP	 60	 在	 p
62	 ATT	 63	 API	 ws
63	 ATT	 64	 函数	 n
64	 ATT	 66	 中	 nd
65	 ATT	 66	 部分	 m
66	 ATT	 68	 参数	 n
67	 RAD	 66	 的	 u
68	 ATT	 69	 设置	 v
69	 POB	 61	 上	 nd
70	 WP	 17	 。	 wp

　　弄清串行通信API函数的用法是掌握串行通信编程技术的关键。
0	 SBV	 1	 	 n
1	 ATT	 7	 弄清	 v
2	 COO	 1	 串行	 v
3	 COO	 1	 通信	 v
4	 ATT	 5	 API	 ws
5	 VOB	 3	 函数	 n
6	 RAD	 1	 的	 u
7	 SBV	 8	 用法	 n
8	 HED	 -1	 是	 v
9	 ATT	 15	 掌握	 v
10	 COO	 9	 串行	 v
11	 COO	 9	 通信	 v
12	 VOB	 9	 编程	 v
13	 VOB	 9	 技术	 n
14	 RAD	 9	 的	 u
15	 VOB	 8	 关键	 n
16	 WP	 8	 。	 wp

下面介绍几个与串行通信编程密切相关的API函数，着重说明这些API函数在进行串行通信时参数设置需要注意的地方。
0	 ADV	 1	 下面	 nd
1	 SBV	 15	 介绍	 v
2	 ATT	 3	 几	 m
3	 ATT	 12	 个	 q
4	 ADV	 9	 与	 c
5	 SBV	 8	 串行	 v
6	 SBV	 8	 通信	 v
7	 SBV	 8	 编程	 v
8	 POB	 4	 密切	 a
9	 ATT	 12	 相关	 v
10	 RAD	 9	 的	 u
11	 ATT	 12	 API	 ws
12	 VOB	 1	 函数	 n
13	 WP	 1	 ，	 wp
14	 ADV	 15	 着重	 v
15	 HED	 -1	 说明	 v
16	 ATT	 18	 这些	 r
17	 ATT	 18	 API	 ws
18	 SBV	 25	 函数	 n
19	 ADV	 25	 在	 p
20	 ATT	 23	 进行	 v
21	 SBV	 22	 串行	 v
22	 VOB	 20	 通信	 v
23	 POB	 19	 时	 n
24	 DBL	 23	 参数	 n
25	 VOB	 15	 设置	 v
26	 ATT	 29	 需要	 v
27	 VOB	 26	 注意	 v
28	 RAD	 26	 的	 u
29	 VOB	 25	 地方	 n
30	 WP	 15	 。	 wp

其它没有提及的函数及参数可以参考Windows95 API函数手册。
0	 SBV	 2	 其它	 r
1	 ADV	 2	 没有	 d
2	 ATT	 4	 提及	 v
3	 RAD	 2	 的	 u
4	 SBV	 8	 函数	 n
5	 LAD	 6	 及	 c
6	 COO	 4	 参数	 n
7	 ADV	 8	 可以	 v
8	 HED	 -1	 参考	 v
9	 ATT	 12	 Windows95	 ws
10	 ATT	 11	 API	 ws
11	 ATT	 12	 函数	 n
12	 VOB	 8	 手册	 n
13	 WP	 8	 。	 wp

3.1　打开串行口API函数　　Windows95通信会话以调用CreateFile()函数打开串行口开始。
0	 ATT	 1	 3.1	 m
1	 SBV	 2	 	 n
2	 HED	 -1	 打开	 v
3	 COO	 2	 串	 v
4	 VOB	 3	 行口	 n
5	 ATT	 6	 API	 ws
6	 SBV	 7	 函数	 n
7	 COO	 2	 	 v
8	 SBV	 9	 Windows95	 ws
9	 COO	 2	 通信	 v
10	 ATT	 11	 会	 v
11	 VOB	 9	 话	 n
12	 ADV	 13	 以	 p
13	 COO	 2	 调用	 v
14	 VOB	 13	 CreateFile	 ws
15	 WP	 13	 (	 wp
16	 WP	 2	 )	 wp
17	 SBV	 18	 函数	 n
18	 COO	 2	 打开	 v
19	 COO	 18	 串	 v
20	 VOB	 19	 行口	 n
21	 COO	 18	 开始	 v
22	 WP	 2	 。	 wp

调用CreateFile()打开串口成功，返回一个操作句柄。
0	 SBV	 4	 调用	 v
1	 VOB	 0	 CreateFile	 ws
2	 WP	 1	 (	 wp
3	 WP	 1	 )	 wp
4	 HED	 -1	 打开	 v
5	 SBV	 6	 串口	 n
6	 VOB	 4	 成功	 a
7	 WP	 4	 ，	 wp
8	 COO	 4	 返回	 v
9	 ATT	 11	 一个	 m
10	 ATT	 11	 操作	 v
11	 VOB	 8	 句柄	 n
12	 WP	 4	 。	 wp

该句柄供随后对串行口的设置、读写等操作用。
0	 ATT	 1	 该	 r
1	 ATT	 2	 句	 q
2	 SBV	 3	 柄	 n
3	 HED	 -1	 供	 v
4	 ADV	 9	 随后	 d
5	 ADV	 9	 对	 p
6	 POB	 5	 串	 v
7	 VOB	 6	 行口	 n
8	 RAD	 5	 的	 u
9	 VOB	 3	 设置	 v
10	 WP	 11	 、	 wp
11	 COO	 9	 读	 v
12	 ATT	 14	 写	 v
13	 RAD	 12	 等	 u
14	 VOB	 11	 操作用	 n
15	 WP	 3	 。	 wp

　　CreateFile()函数原型:　HANDLE CreateFile(LPCTSTR szDevice, DWORD dwAccess,DWORD dwShareMode, LPSECURITY—ATTRIBUTES lpSA,DWORD dwCreate, DWORD dwFlagsAndAttributes,HANDLE hTemplateFile );　　调用此函数要注意这几个参数的设置：dwShareMode指定该端口的共享属性。
0	 SBV	 15	 	 v
1	 ATT	 5	 CreateFile	 ws
2	 WP	 1	 (	 wp
3	 WP	 1	 )	 wp
4	 ATT	 5	 函数	 n
5	 VOB	 0	 原型	 n
6	 WP	 0	 :	 wp
7	 SBV	 15	 	 v
8	 VOB	 7	 HANDLE	 ws
9	 SBV	 15	 CreateFile	 ws
10	 WP	 9	 (	 wp
11	 SBV	 15	 LPCTSTR	 ws
12	 ATT	 15	 szDevice	 ws
13	 WP	 15	 ,	 wp
14	 SBV	 15	 DWORD	 ws
15	 HED	 -1	 dwAccess	 v
16	 WP	 18	 ,	 wp
17	 SBV	 18	 DWORD	 ws
18	 COO	 15	 dwShareMode	 v
19	 WP	 21	 ,	 wp
20	 ATT	 21	 LPSECURITY—ATTRIBUTES	 ws
21	 VOB	 18	 lpSA	 ws
22	 WP	 21	 ,	 wp
23	 SBV	 27	 DWORD	 ws
24	 ATT	 27	 dwCreate	 ws
25	 WP	 27	 ,	 wp
26	 SBV	 27	 DWORD	 ws
27	 COO	 15	 dwFlagsAndAttributes	 v
28	 WP	 30	 ,	 wp
29	 ATT	 30	 HANDLE	 ws
30	 VOB	 27	 hTemplateFile	 nh
31	 WP	 15	 )	 wp

该参数是为文件共享提供的，串行口不能作为共享设备。
0	 ATT	 1	 该	 r
1	 SBV	 2	 参数	 n
2	 HED	 -1	 是	 v
3	 ADV	 6	 为	 p
4	 FOB	 5	 文件	 n
5	 POB	 3	 共享	 v
6	 VOB	 2	 提供	 v
7	 RAD	 6	 的	 u
8	 WP	 2	 ，	 wp
9	 SBV	 13	 串	 v
10	 VOB	 9	 行口	 n
11	 ADV	 12	 不	 d
12	 ADV	 13	 能	 v
13	 COO	 2	 作为	 p
14	 VOB	 13	 共享	 v
15	 VOB	 14	 设备	 n
16	 WP	 2	 。	 wp

故参数值必须为0，这是文件与通信设备之间的主要差异之一；dwCreate必须为OPEN—EXISTING。
0	 ATT	 1	 故参	 n
1	 SBV	 3	 数值	 n
2	 ADV	 3	 必须	 d
3	 HED	 -1	 为	 v
