             。
0	 HED	 -1	 。	 wp
0	 ADV	 9	 从	 p
1	 ATT	 4	 受	 v
2	 VOB	 1	 庇护人	 n
3	 RAD	 1	 的	 u
4	 POB	 0	 角度	 n
5	 RAD	 0	 来看	 v
6	 WP	 0	 ，	 wp
7	 ATT	 9	 庇护人制	 n
8	 RAD	 7	 的	 u
9	 SBV	 11	 形成	 v
10	 VOB	 9	 完全	 a
11	 HED	 -1	 是	 v
12	 VOB	 11	 出于	 v
13	 VOB	 12	 生存	 v
14	 COO	 13	 考虑	 v
15	 WP	 11	 ，	 wp
16	 ADV	 26	 对	 p
17	 ATT	 20	 地主	 n
18	 RAD	 17	 的	 u
19	 ADV	 20	 忠诚	 a
20	 ATT	 24	 意味着	 v
21	 CMP	 20	 在	 p
22	 POB	 21	 饥荒	 n
23	 RAD	 20	 之	 u
24	 POB	 16	 时	 n
25	 ADV	 26	 可以	 v
26	 COO	 11	 得到	 v
27	 ATT	 28	 一	 m
28	 ATT	 29	 包	 q
29	 VOB	 26	 稻米	 n
30	 WP	 11	 。	 wp

庇护者则要通过这种制度得到社会和政治地位，通过向受庇护人提供好处，可以得到利益、保护、选票和声望。
0	 SBV	 6	 庇护者	 n
1	 ADV	 6	 则	 c
2	 ADV	 6	 要	 v
3	 ADV	 6	 通过	 p
4	 ATT	 5	 这种	 r
5	 POB	 3	 制度	 n
6	 HED	 -1	 得到	 v
7	 ATT	 10	 社会	 n
8	 LAD	 9	 和	 c
9	 COO	 7	 政治	 n
10	 VOB	 6	 地位	 n
11	 WP	 6	 ，	 wp
12	 ADV	 20	 通过	 p
13	 ADV	 16	 向	 p
14	 ATT	 15	 受	 v
15	 POB	 13	 庇护人	 n
16	 POB	 12	 提供	 v
17	 VOB	 16	 好处	 n
18	 WP	 12	 ，	 wp
19	 ADV	 20	 可以	 v
20	 COO	 6	 得到	 v
21	 VOB	 20	 利益	 n
22	 WP	 23	 、	 wp
23	 COO	 21	 保护	 v
24	 WP	 25	 、	 wp
25	 COO	 21	 选票	 n
26	 LAD	 27	 和	 c
27	 COO	 21	 声望	 n
28	 WP	 6	 。	 wp

这是一种金字塔状的等级制度。
0	 SBV	 1	 这	 r
1	 HED	 -1	 是	 v
2	 ATT	 3	 一	 m
3	 ATT	 8	 种	 q
4	 ATT	 5	 金字塔	 n
5	 ATT	 8	 状	 n
6	 RAD	 5	 的	 u
7	 ATT	 8	 等级	 n
8	 VOB	 1	 制度	 n
9	 WP	 1	 。	 wp

除了处于顶点的人之外，每个庇护人又都是他上面的受庇护者，这种庇护网络把社会联结在一起。
0	 ADV	 12	 除了	 p
1	 ATT	 4	 处于	 v
2	 VOB	 1	 顶点	 n
3	 RAD	 1	 的	 u
4	 ATT	 5	 人	 n
5	 POB	 0	 之外	 nd
6	 WP	 0	 ，	 wp
7	 SBV	 8	 每个	 r
8	 SBV	 12	 庇护	 v
9	 DBL	 8	 人	 n
10	 ADV	 12	 又	 d
11	 ADV	 12	 都	 d
12	 HED	 -1	 是	 v
13	 ATT	 14	 他	 r
14	 ATT	 16	 上面	 nd
15	 RAD	 14	 的	 u
16	 VOB	 12	 受庇护者	 n
17	 WP	 12	 ，	 wp
18	 ADV	 19	 这种	 r
19	 COO	 12	 庇护	 v
20	 VOB	 19	 网络	 n
21	 ADV	 23	 把	 p
22	 POB	 21	 社会	 n
23	 COO	 19	 联结	 v
24	 CMP	 23	 在	 p
25	 POB	 24	 一起	 nl
26	 WP	 12	 。	 wp

它甚至把偏远的农村与中心城市联系了起来，各种信息通过这种互相重叠的网络和组织向下或向上传播，把全国联为一体。
0	 SBV	 9	 它	 r
1	 ADV	 9	 甚至	 d
2	 ADV	 9	 把	 p
3	 ATT	 5	 偏远	 a
4	 RAD	 3	 的	 u
5	 POB	 2	 农村	 n
6	 ADV	 9	 与	 p
7	 ATT	 8	 中心	 n
8	 POB	 6	 城市	 n
9	 HED	 -1	 联系	 v
10	 RAD	 9	 了	 u
11	 CMP	 9	 起来	 v
12	 WP	 9	 ，	 wp
13	 ATT	 14	 各种	 r
14	 SBV	 26	 信息	 n
15	 ADV	 26	 通过	 p
16	 ATT	 20	 这种	 r
17	 ADV	 18	 互相	 d
18	 ATT	 20	 重叠	 v
19	 RAD	 18	 的	 u
20	 POB	 15	 网络	 n
21	 LAD	 22	 和	 c
22	 COO	 20	 组织	 n
23	 ADV	 26	 向	 p
24	 POB	 23	 下	 nd
25	 COO	 23	 或	 c
26	 COO	 9	 向上	 v
27	 VOB	 26	 传播	 v
28	 WP	 26	 ，	 wp
29	 ADV	 31	 把	 p
30	 POB	 29	 全国	 n
31	 COO	 26	 联	 v
32	 CMP	 31	 为	 v
33	 VOB	 32	 一体	 n
34	 WP	 9	 。	 wp

    在东亚的儒教社会中，庇护制广泛存在。
0	 ADV	 9	 在	 p
1	 ATT	 4	 东亚	 ns
2	 RAD	 1	 的	 u
3	 ATT	 4	 儒教	 j
4	 ATT	 5	 社会	 n
5	 POB	 0	 中	 nd
6	 WP	 0	 ，	 wp
7	 SBV	 9	 庇护制	 n
8	 ADV	 9	 广泛	 a
9	 HED	 -1	 存在	 v
10	 WP	 9	 。	 wp

在中国和台湾省、越南、韩国和朝鲜的社会中，一个人要想在政治上、经济上或社会地位上高升或保全自己，就不能不进入一定的庇护网络。
0	 ADV	 17	 在	 p
1	 ATT	 11	 中国	 ns
2	 LAD	 3	 和	 c
3	 COO	 1	 台湾省	 ns
4	 WP	 5	 、	 wp
5	 COO	 1	 越南	 ns
6	 WP	 7	 、	 wp
7	 COO	 5	 韩国	 ns
8	 LAD	 9	 和	 c
9	 COO	 5	 朝鲜	 ns
10	 RAD	 5	 的	 u
11	 ATT	 12	 社会	 n
12	 POB	 0	 中	 nd
13	 WP	 0	 ，	 wp
14	 ATT	 15	 一个	 m
15	 SBV	 17	 人	 n
16	 ADV	 17	 要	 v
17	 HED	 -1	 想	 v
18	 ADV	 28	 在	 p
19	 ATT	 20	 政治	 n
20	 POB	 18	 上	 nd
21	 WP	 23	 、	 wp
22	 ATT	 23	 经济	 n
23	 COO	 20	 上	 nd
24	 LAD	 27	 或	 c
25	 ATT	 26	 社会	 n
26	 ATT	 27	 地位	 n
27	 COO	 20	 上	 nd
28	 VOB	 17	 高升	 v
29	 LAD	 30	 或	 c
30	 COO	 28	 保全	 v
31	 VOB	 28	 自己	 r
32	 WP	 28	 ，	 wp
33	 ADV	 35	 就	 d
34	 ADV	 35	 不能不	 d
35	 COO	 28	 进入	 v
36	 ATT	 39	 一定	 b
37	 RAD	 36	 的	 u
38	 ATT	 39	 庇护	 v
39	 VOB	 35	 网络	 n
40	 WP	 17	 。	 wp

制度化的渠道总是不那么畅通。
0	 ATT	 2	 制度化	 v
1	 RAD	 0	 的	 u
2	 SBV	 6	 渠道	 n
3	 ADV	 6	 总是	 d
4	 ADV	 6	 不	 d
5	 ADV	 6	 那么	 r
6	 HED	 -1	 畅通	 a
7	 WP	 6	 。	 wp

在韩国，经济上的庇护关系不仅是企业和社会组织内部的组织网络，而且在大财团的领导人和政府官员之间也存在这种关系，这是大财团享有特权和近年来失去活力的主要原因。
0	 ADV	 9	 在	 p
1	 ATT	 3	 韩国	 ns
2	 WP	 1	 ，	 wp
3	 ATT	 4	 经济	 n
4	 POB	 0	 上	 nd
5	 RAD	 0	 的	 u
6	 SBV	 9	 庇护	 v
7	 VOB	 6	 关系	 n
8	 ADV	 9	 不仅	 c
9	 HED	 -1	 是	 v
10	 ATT	 14	 企业	 n
11	 LAD	 13	 和	 c
12	 ATT	 13	 社会	 n
13	 COO	 10	 组织	 n
14	 ATT	 17	 内部	 nd
15	 RAD	 14	 的	 u
16	 ATT	 17	 组织	 n
17	 VOB	 9	 网络	 n
18	 WP	 9	 ，	 wp
19	 ADV	 30	 而且	 c
20	 ADV	 30	 在	 p
21	 ATT	 22	 大	 a
22	 ATT	 24	 财团	 n
23	 RAD	 22	 的	 u
24	 ATT	 28	 领导人	 n
25	 LAD	 27	 和	 c
26	 ATT	 27	 政府	 n
27	 COO	 24	 官员	 n
28	 POB	 20	 之间	 nd
29	 ADV	 30	 也	 d
30	 COO	 9	 存在	 v
31	 ATT	 32	 这种	 r
32	 VOB	 30	 关系	 n
33	 WP	 9	 ，	 wp
34	 SBV	 35	 这	 r
35	 COO	 9	 是	 v
36	 ATT	 37	 大	 a
37	 SBV	 38	 财团	 n
38	 ATT	 46	 享有	 v
39	 VOB	 38	 特权	 n
40	 LAD	 42	 和	 c
41	 ADV	 42	 近年来	 i
42	 COO	 38	 失去	 v
43	 VOB	 42	 活力	 n
44	 RAD	 38	 的	 u
45	 ATT	 46	 主要	 b
46	 VOB	 35	 原因	 n
47	 WP	 9	 。	 wp

在日本，尽管战后美国在那里实行了大规模的社会和政治经济改革，公司内部以及公司与政府之间的关系也仍然带有浓重的家庭和庇护关系。
0	 ADV	 29	 在	 p
1	 POB	 0	 日本	 ns
2	 WP	 0	 ，	 wp
3	 ADV	 8	 尽管	 c
4	 ADV	 8	 战后	 nt
5	 SBV	 8	 美国	 ns
6	 ADV	 8	 在	 p
7	 POB	 6	 那里	 r
8	 ATT	 18	 实行	 v
9	 RAD	 8	 了	 u
10	 ATT	 12	 大规模	 b
11	 RAD	 10	 的	 u
12	 VOB	 8	 社会	 n
13	 LAD	 16	 和	 c
14	 ATT	 15	 政治	 n
15	 SBV	 16	 经济	 n
16	 ATT	 18	 改革	 v
17	 WP	 16	 ，	 wp
18	 ATT	 19	 公司	 n
19	 ATT	 26	 内部	 nd
20	 LAD	 24	 以及	 c
21	 ATT	 24	 公司	 n
22	 LAD	 23	 与	 p
23	 COO	 21	 政府	 n
24	 COO	 19	 之间	 nd
25	 RAD	 19	 的	 u
26	 SBV	 29	 关系	 n
27	 ADV	 29	 也	 d
28	 ADV	 29	 仍然	 d
29	 HED	 -1	 带有	 v
30	 ATT	 35	 浓重	 a
31	 RAD	 30	 的	 u
32	 ATT	 35	 家庭	 n
33	 LAD	 34	 和	 c
34	 COO	 32	 庇护	 v
35	 VOB	 29	 关系	 n
36	 WP	 29	 。	 wp

日本很多县和国会的议员都是子承父业。
0	 ATT	 2	 日本	 ns
1	 ATT	 2	 很多	 m
2	 SBV	 8	 县	 n
3	 LAD	 6	 和	 c
4	 ATT	 6	 国会	 n
5	 RAD	 4	 的	 u
6	 COO	 2	 议员	 n
7	 ADV	 8	 都	 d
8	 HED	 -1	 是	 v
9	 VOB	 8	 子承父业	 n
10	 WP	 8	 。	 wp

    儒家社会政治关系对国家最重要的影响莫过于建立“君子政府”，或曰“家长式的政府”。
0	 ATT	 1	 儒家	 n
1	 ATT	 3	 社会	 n
2	 ATT	 3	 政治	 n
3	 SBV	 9	 关系	 n
4	 ADV	 9	 对	 p
5	 POB	 4	 国家	 n
6	 ADV	 7	 最	 d
7	 ADV	 9	 重要	 a
8	 RAD	 7	 的	 u
9	 HED	 -1	 影响	 v
10	 SBV	 11	 莫过于	 i
11	 VOB	 9	 建立	 v
12	 WP	 14	 “	 wp
13	 ATT	 14	 君子	 n
14	 VOB	 11	 政府	 n
15	 WP	 14	 ”	 wp
16	 WP	 9	 ，	 wp
17	 ADV	 18	 或	 c
18	 COO	 9	 曰	 v
19	 WP	 22	 “	 wp
20	 ATT	 22	 家长式	 b
21	 RAD	 20	 的	 u
22	 VOB	 18	 政府	 n
23	 WP	 22	 ”	 wp
24	 WP	 9	 。	 wp

儒家主张“贤人政治”和“人治”，这是儒教国家的共性。
0	 SBV	 1	 儒家	 n
1	 HED	 -1	 主张	 v
2	 WP	 4	 “	 wp
3	 ATT	 4	 贤人	 n
4	 COO	 1	 政治	 n
5	 WP	 4	 ”	 wp
6	 LAD	 8	 和	 c
7	 WP	 8	 “	 wp
8	 COO	 4	 人治	 n
9	 WP	 8	 ”	 wp
10	 WP	 1	 ，	 wp
11	 SBV	 12	 这	 r
12	 COO	 1	 是	 v
13	 ATT	 14	 儒教	 j
14	 ATT	 16	 国家	 n
15	 RAD	 14	 的	 u
16	 VOB	 12	 共性	 n
17	 WP	 1	 。	 wp

以新加坡为例，李光耀就是这样一位坚定的“君子当政主义者”。
0	 ADV	 2	 以	 p
1	 POB	 0	 新加坡	 ns
2	 HED	 -1	 为	 v
3	 VOB	 2	 例	 n
4	 WP	 2	 ，	 wp
5	 SBV	 6	 李光耀	 nh
6	 COO	 2	 就是	 v
7	 ATT	 14	 这样	 r
8	 ATT	 9	 一	 m
9	 ATT	 14	 位	 q
10	 ATT	 14	 坚定	 a
11	 RAD	 10	 的	 u
12	 WP	 14	 “	 wp
13	 ATT	 14	 君子	 n
14	 VOB	 6	 当政主义者	 n
15	 WP	 14	 ”	 wp
16	 WP	 2	 。	 wp

他公开宣称：“任何社会都有一个最高阶层，其人数不超过总人口的5%，他们德才兼备。
0	 SBV	 2	 他	 r
1	 ADV	 2	 公开	 a
2	 HED	 -1	 宣称	 v
3	 WP	 2	 ：	 wp
4	 WP	 8	 “	 wp
5	 ATT	 6	 任何	 r
6	 SBV	 8	 社会	 n
7	 ADV	 8	 都	 d
8	 VOB	 2	 有	 v
9	 ATT	 11	 一个	 m
10	 ATT	 11	 最高	 a
11	 VOB	 8	 阶层	 n
12	 WP	 8	 ，	 wp
13	 ATT	 14	 其	 r
14	 SBV	 16	 人数	 n
15	 ADV	 16	 不	 d
16	 COO	 8	 超过	 v
17	 ATT	 19	 总人口	 n
18	 RAD	 17	 的	 u
19	 VOB	 16	 5%	 m
20	 WP	 8	 ，	 wp
21	 SBV	 22	 他们	 r
22	 COO	 8	 德才兼备	 i
23	 WP	 2	 。	 wp

正是由于有了他们，我们才有效地利用了有限的资源，使新加坡成为南亚东南亚出类拔萃的地方。
0	 ADV	 2	 正是	 v
1	 ADV	 2	 由于	 c
2	 HED	 -1	 有	 v
3	 RAD	 2	 了	 u
4	 VOB	 2	 他们	 r
5	 WP	 2	 ，	 wp
6	 SBV	 10	 我们	 r
7	 ADV	 10	 才	 d
8	 ADV	 10	 有效	 a
9	 RAD	 8	 地	 u
10	 COO	 2	 利用	 v
11	 RAD	 10	 了	 u
12	 ATT	 14	 有限	 a
13	 RAD	 12	 的	 u
14	 VOB	 10	 资源	 n
15	 WP	 2	 ，	 wp
16	 COO	 2	 使	 v
17	 DBL	 16	 新加坡	 ns
18	 VOB	 16	 成为	 v
19	 ATT	 20	 南亚	 ns
20	 ATT	 23	 东南亚	 ns
21	 ATT	 23	 出类拔萃	 i
22	 RAD	 21	 的	 u
23	 VOB	 18	 地方	 n
24	 WP	 2	 。	 wp

”（注：《李光耀40年政论选》第137～138页。
0	 WP	 2	 ”	 wp
1	 WP	 2	 （	 wp
2	 HED	 -1	 注	 v
3	 WP	 2	 ：	 wp
4	 WP	 8	 《	 wp
5	 ATT	 7	 李光耀	 nh
6	 ATT	 7	 40年	 nt
7	 ATT	 8	 政论	 n
8	 ATT	 13	 选	 n
9	 WP	 8	 》	 wp
10	 ATT	 11	 第137	 m
11	 ATT	 13	 ～	 q
12	 ATT	 13	 138	 m
13	 VOB	 2	 页	 q
14	 WP	 2	 。	 wp

新加坡《联合早报》编，现代出版社，北京，1994。
0	 ATT	 3	 新加坡	 ns
1	 WP	 3	 《	 wp
2	 ATT	 3	 联合	 v
3	 FOB	 5	 早报	 n
4	 WP	 3	 》	 wp
5	 HED	 -1	 编	 v
6	 WP	 5	 ，	 wp
7	 ATT	 8	 现代	 nt
8	 COO	 5	 出版社	 n
9	 WP	 5	 ，	 wp
10	 CMP	 5	 北京	 ns
11	 WP	 5	 ，	 wp
12	 COO	 5	 1994	 m
13	 WP	 5	 。	 wp

）对人民行动党政府来说，少数精英是最宝贵的资源。
0	 WP	 3	 ）	 wp
1	 ADV	 3	 对	 p
2	 POB	 1	 人民	 n
3	 HED	 -1	 行动	 v
4	 ATT	 5	 党	 n
5	 VOB	 3	 政府	 n
6	 RAD	 3	 来说	 u
7	 WP	 3	 ，	 wp
8	 ATT	 9	 少数	 m
9	 SBV	 10	 精英	 n
10	 COO	 3	 是	 v
11	 ADV	 12	 最	 d
12	 ATT	 14	 宝贵	 a
13	 RAD	 12	 的	 u
14	 VOB	 10	 资源	 n
15	 WP	 3	 。	 wp

李光耀常说，国家的前途寄托在部长们的人品和素质上。
0	 SBV	 2	 李光耀	 nh
1	 ADV	 2	 常	 d
2	 HED	 -1	 说	 v
3	 WP	 2	 ，	 wp
4	 ATT	 6	 国家	 n
5	 RAD	 4	 的	 u
6	 SBV	 7	 前途	 n
7	 VOB	 2	 寄托	 v
8	 CMP	 7	 在	 p
9	 ATT	 12	 部长	 n
10	 RAD	 9	 们	 k
11	 RAD	 9	 的	 u
12	 ATT	 15	 人品	 n
13	 LAD	 14	 和	 c
14	 COO	 12	 素质	 n
15	 POB	 8	 上	 nd
16	 WP	 2	 。	 wp

他还说，行政、军队、警察和法定机构中的杰出人物挑着国家的大梁，他们凭着自己的业绩、苦干和出色的表现使新加坡出类拔萃。
0	 SBV	 2	 他	 r
1	 ADV	 2	 还	 d
2	 HED	 -1	 说	 v
3	 WP	 2	 ，	 wp
4	 ATT	 12	 行政	 n
5	 WP	 6	 、	 wp
6	 COO	 4	 军队	 n
7	 WP	 8	 、	 wp
8	 COO	 4	 警察	 n
9	 LAD	 11	 和	 c
10	 ATT	 11	 法定	 b
11	 COO	 4	 机构	 n
12	 ATT	 15	 中	 nd
13	 RAD	 12	 的	 u
14	 ATT	 15	 杰出	 a
15	 SBV	 16	 人物	 n
16	 VOB	 2	 挑	 v
17	 RAD	 16	 着	 u
18	 ATT	 20	 国家	 n
19	 RAD	 18	 的	 u
20	 VOB	 16	 大梁	 n
21	 WP	 16	 ，	 wp
22	 SBV	 32	 他们	 r
23	 ADV	 32	 凭着	 p
24	 ATT	 26	 自己	 r
25	 RAD	 24	 的	 u
26	 VOB	 23	 业绩	 n
27	 WP	 28	 、	 wp
28	 COO	 26	 苦干	 v
29	 LAD	 30	 和	 c
30	 COO	 28	 出色	 a
31	 RAD	 28	 的	 u
32	 COO	 16	 表现	 v
33	 VOB	 32	 使	 v
34	 DBL	 33	 新加坡	 ns
35	 VOB	 33	 出类拔萃	 i
36	 WP	 2	 。	 wp

    在其它文化圈中，这种庇护关系也毫不逊色。
0	 ADV	 10	 在	 p
1	 ATT	 2	 其它	 r
2	 ATT	 3	 文化圈	 n
3	 POB	 0	 中	 nd
4	 WP	 0	 ，	 wp
5	 ATT	 7	 这种	 r
6	 ATT	 7	 庇护	 v
7	 SBV	 10	 关系	 n
8	 ADV	 10	 也	 d
9	 ADV	 10	 毫不	 d
10	 HED	 -1	 逊色	 a
11	 WP	 10	 。	 wp

在菲律宾，知恩必报的观念把所有的人联系在一起。
0	 ADV	 10	 在	 p
1	 POB	 0	 菲律宾	 ns
2	 WP	 0	 ，	 wp
3	 ATT	 5	 知恩必报	 n
4	 RAD	 3	 的	 u
5	 SBV	 10	 观念	 n
6	 ADV	 10	 把	 p
7	 ATT	 9	 所有	 b
8	 RAD	 7	 的	 u
9	 POB	 6	 人	 n
10	 HED	 -1	 联系	 v
11	 CMP	 10	 在	 p
12	 POB	 11	 一起	 nl
13	 WP	 10	 。	 wp

在庇护网络中的每个人都知道自己应担当的角色。
0	 ADV	 8	 在	 p
1	 ATT	 2	 庇护	 v
2	 ATT	 3	 网络	 n
3	 POB	 0	 中	 nd
4	 RAD	 0	 的	 u
5	 ATT	 6	 每个	 r
6	 SBV	 8	 人	 n
7	 ADV	 8	 都	 d
8	 HED	 -1	 知道	 v
9	 SBV	 11	 自己	 r
10	 ADV	 11	 应	 v
11	 ATT	 13	 担当	 v
12	 RAD	 11	 的	 u
13	 VOB	 8	 角色	 n
14	 WP	 8	 。	 wp

这种个人关系满足了菲律宾人的直接需要，所以多数人都不重视制度化的政治体制。
0	 ATT	 2	 这种	 r
1	 ATT	 2	 个人	 n
2	 SBV	 3	 关系	 n
3	 HED	 -1	 满足	 v
4	 RAD	 3	 了	 u
5	 ATT	 6	 菲律宾	 ns
6	 ATT	 9	 人	 n
7	 RAD	 6	 的	 u
8	 ADV	 9	 直接	 a
9	 VOB	 3	 需要	 v
10	 WP	 3	 ，	 wp
11	 ADV	 16	 所以	 c
12	 ATT	 13	 多数	 m
13	 SBV	 16	 人	 n
14	 ADV	 16	 都	 d
15	 ADV	 16	 不	 d
16	 COO	 3	 重视	 v
17	 ATT	 20	 制度化	 v
18	 RAD	 17	 的	 u
19	 ATT	 20	 政治	 n
20	 VOB	 16	 体制	 n
21	 WP	 3	 。	 wp

甚至在菲律宾的政党中也存在这种垂直链式的庇护关系，从各方面的“大人”到普通的农民——“小人”，无处不在。
0	 ADV	 7	 甚至	 c
1	 ADV	 7	 在	 p
2	 ATT	 4	 菲律宾	 ns
3	 RAD	 2	 的	 u
4	 ATT	 5	 政党	 n
5	 POB	 1	 中	 nd
6	 ADV	 7	 也	 d
7	 HED	 -1	 存在	 v
8	 ATT	 9	 这种	 r
9	 ATT	 12	 垂直链式	 n
10	 RAD	 9	 的	 u
11	 ATT	 12	 庇护	 v
12	 VOB	 7	 关系	 n
13	 WP	 7	 ，	 wp
14	 ADV	 21	 从	 p
15	 ATT	 16	 各	 r
16	 ATT	 19	 方面	 n
17	 RAD	 16	 的	 u
18	 WP	 19	 “	 wp
19	 POB	 14	 大人	 n
20	 WP	 19	 ”	 wp
21	 COO	 7	 到	 p
22	 ATT	 24	 普通	 a
23	 RAD	 22	 的	 u
24	 POB	 21	 农民	 n
25	 WP	 21	 ——	 wp
26	 WP	 27	 “	 wp
27	 VOB	 7	 小人	 n
28	 WP	 27	 ”	 wp
29	 WP	 7	 ，	 wp
30	 COO	 7	 无处不在	 i
31	 WP	 7	 。	 wp

在泰国，庇护关系已经渗透到社会的各个角落。
0	 ADV	 5	 在	 p
1	 POB	 0	 泰国	 ns
2	 WP	 0	 ，	 wp
3	 SBV	 5	 庇护关系	 n
4	 ADV	 5	 已经	 d
5	 HED	 -1	 渗透	 v
6	 CMP	 5	 到	 v
7	 ATT	 10	 社会	 n
8	 RAD	 7	 的	 u
9	 ATT	 10	 各个	 r
10	 POB	 6	 角落	 n
11	 WP	 5	 。	 wp

那里的基本的关系模式是主从制，即在不同地位的人之间形成保护与被保护关系，这已成为社会的基本的交易和联络方式。
0	 ATT	 5	 那里	 r
1	 RAD	 0	 的	 u
2	 ATT	 5	 基本	 a
3	 RAD	 2	 的	 u
4	 ATT	 5	 关系	 n
5	 SBV	 6	 模式	 n
6	 HED	 -1	 是	 v
