产业与环境INDUSTRY AND ENVIRONMENT1999年　第21卷　第1-2期　Vol。
0	 ATT	 1	 ﻿	 n
32	 ATT	 48	 New	 ws
33	 ATT	 48	 York	 ws
34	 WP	 36	 ,	 wp
35	 SBV	 36	 NY	 v
36	 ATT	 40	 10018	 m
37	 WP	 40	 ,	 wp
38	 ATT	 39	 USA	 ws
39	 SBV	 40	 摘要	 n
40	 ATT	 48	 	 v
41	 WP	 48	 《	 wp
42	 ATT	 43	 京都	 ns
43	 ATT	 47	 议定书	 n
44	 WP	 43	 》	 wp
45	 RAD	 43	 的	 u
46	 ADV	 47	 清洁	 a
47	 ATT	 48	 发展	 v
48	 ATT	 50	 机制	 n
49	 WP	 50	 (	 wp
50	 COO	 4	 CDM	 ws
51	 WP	 2	 )	 wp
52	 HED	 -1	 使得	 v
53	 ATT	 54	 工业化	 v
54	 SBV	 60	 国家	 n
55	 LAD	 58	 和	 c
56	 ATT	 58	 过渡	 v
57	 ATT	 58	 经济	 n
58	 COO	 54	 国家	 n
59	 ADV	 60	 能	 v
60	 VOB	 52	 使用	 v
61	 VOB	 60	 经	 p
62	 POB	 61	 认证	 v
63	 RAD	 60	 的	 u
64	 WP	 52	 ，	 wp
65	 ADV	 70	 因	 p
66	 SBV	 67	 CDM	 ws
67	 POB	 65	 活动	 v
68	 ADV	 70	 而	 c
69	 ADV	 70	 自然	 d
70	 ATT	 72	 形成	 v
71	 RAD	 70	 的	 u
72	 SBV	 73	 排放量	 n
73	 COO	 52	 削减	 v
74	 ADV	 75	 来	 v
75	 VOB	 73	 履行	 v
76	 SBV	 77	 其	 r
77	 ADV	 82	 限制	 v
78	 LAD	 79	 和	 c
79	 COO	 77	 减少	 v
80	 VOB	 79	 排放量	 n
81	 RAD	 77	 的	 u
82	 ATT	 86	 承诺	 v
83	 RAD	 82	 的	 u
84	 ATT	 85	 某	 r
85	 ATT	 86	 一	 m
86	 VOB	 75	 部分	 n
87	 WP	 52	 。	 wp

本文侧重于关于在CDM范围内开展的排放削减活动的实施的未解决问题(例如，有歧义的语言，各种排放削减活动的实施手段上的不一致)。
0	 SBV	 1	 本文	 r
1	 HED	 -1	 侧重	 v
2	 CMP	 1	 于	 p
3	 ADV	 14	 关于	 p
4	 ADV	 8	 在	 p
5	 ATT	 6	 CDM	 ws
6	 ATT	 7	 范围	 n
7	 POB	 4	 内	 nd
8	 POB	 3	 开展	 v
9	 RAD	 3	 的	 u
10	 ADV	 14	 排放	 v
11	 ATT	 12	 削减	 v
12	 VOB	 10	 活动	 v
13	 RAD	 10	 的	 u
14	 ATT	 25	 实施	 v
15	 RAD	 14	 的	 u
16	 ADV	 17	 未	 d
17	 ATT	 25	 解决	 v
18	 VOB	 17	 问题	 n
19	 WP	 20	 (	 wp
20	 COO	 17	 例如	 v
21	 WP	 17	 ，	 wp
22	 COO	 17	 有	 v
23	 VOB	 22	 歧义	 n
24	 RAD	 17	 的	 u
25	 POB	 2	 语言	 n
26	 WP	 1	 ，	 wp
27	 ATT	 33	 各种	 r
28	 ADV	 29	 排放	 v
29	 ATT	 30	 削减	 v
30	 ATT	 33	 活动	 v
31	 RAD	 30	 的	 u
32	 ATT	 33	 实施	 v
33	 ATT	 34	 手段	 n
34	 ATT	 37	 上	 nd
35	 RAD	 34	 的	 u
36	 ADV	 37	 不	 d
37	 COO	 1	 一致	 a
38	 WP	 1	 )	 wp
39	 WP	 1	 。	 wp

发展中国家及其私有部门实体有必要考察这些重要问题。
0	 SBV	 5	 发展中国家	 i
1	 LAD	 4	 及其	 c
2	 ATT	 3	 私有	 v
3	 ATT	 4	 部门	 n
4	 COO	 0	 实体	 n
5	 HED	 -1	 有	 v
6	 ADV	 7	 必要	 a
7	 VOB	 5	 考察	 v
8	 ATT	 10	 这些	 r
9	 ATT	 10	 重要	 a
10	 VOB	 5	 问题	 n
11	 WP	 5	 。	 wp

引　言　　《联合国气候变化框架公约》(UNFCCC)第3次缔约方会议(COP3)终于在1998年12月11日最初几个小时通过《京都议定书》。
0	 ATT	 15	 引	 v
1	 VOB	 0	 言	 v
2	 WP	 7	 《	 wp
3	 ATT	 4	 联合国	 ni
4	 SBV	 5	 气候	 n
5	 ATT	 7	 变化	 v
6	 VOB	 5	 框架	 n
7	 ATT	 15	 公约	 n
8	 WP	 7	 》	 wp
9	 WP	 7	 (	 wp
10	 ATT	 15	 UNFCCC	 ws
11	 WP	 10	 )	 wp
12	 ATT	 13	 第3	 m
13	 ATT	 15	 次	 q
14	 ATT	 15	 缔约方	 n
15	 SBV	 28	 会议	 n
16	 WP	 20	 (	 wp
17	 SBV	 20	 COP3	 ws
18	 WP	 20	 )	 wp
19	 ADV	 20	 终于	 d
20	 ADV	 28	 在	 p
21	 ATT	 22	 1998年	 nt
22	 ATT	 23	 12月	 nt
23	 POB	 20	 11日	 nt
24	 ADV	 28	 最初	 d
25	 ATT	 26	 几	 m
26	 ATT	 27	 个	 q
27	 ADV	 28	 小时	 n
28	 HED	 -1	 通过	 v
29	 WP	 31	 《	 wp
30	 ATT	 31	 京都	 ns
31	 VOB	 28	 议定书	 n
32	 WP	 31	 》	 wp
33	 WP	 28	 。	 wp

对工业化国家和过渡经济国家(《议定书》附录B缔约方/《公约》附录I缔约方)有约束力的量化排放限制和削减承诺(QELRCs)的《京都议定书》的通过，代表第1次缔约方会议上通过的《柏林授权》条款的执行方面的一个重要步骤1。
0	 ADV	 40	 对	 p
1	 ATT	 2	 工业化	 v
2	 POB	 0	 国家	 n
3	 LAD	 6	 和	 c
4	 ATT	 6	 过渡	 v
5	 ATT	 6	 经济	 n
6	 COO	 2	 国家	 n
7	 WP	 11	 (	 wp
8	 WP	 9	 《	 wp
9	 ATT	 11	 议定书	 n
10	 WP	 9	 》	 wp
11	 COO	 6	 附录	 n
12	 ATT	 13	 B	 ws
13	 COO	 6	 缔约方	 n
14	 WP	 16	 /	 wp
15	 WP	 16	 《	 wp
16	 COO	 13	 公约	 n
17	 WP	 16	 》	 wp
18	 COO	 13	 附录	 n
19	 ATT	 20	 I	 ws
20	 COO	 6	 缔约方	 n
21	 WP	 25	 )	 wp
22	 ADV	 25	 有	 v
23	 VOB	 22	 约束力	 n
24	 RAD	 22	 的	 u
25	 ATT	 37	 量化	 v
26	 COO	 25	 排放	 v
27	 VOB	 26	 限制	 v
28	 LAD	 29	 和	 c
29	 COO	 27	 削减	 v
30	 VOB	 27	 承诺	 v
31	 WP	 32	 (	 wp
32	 VOB	 30	 QELRCs	 nh
33	 WP	 27	 )	 wp
34	 RAD	 25	 的	 u
35	 WP	 37	 《	 wp
36	 ATT	 37	 京都	 ns
37	 COO	 6	 议定书	 n
38	 WP	 37	 》	 wp
39	 RAD	 6	 的	 u
40	 HED	 -1	 通过	 v
41	 WP	 40	 ，	 wp
42	 COO	 40	 代表	 v
43	 ATT	 44	 第1	 m
44	 ATT	 46	 次	 q
45	 ATT	 46	 缔约方	 n
46	 ATT	 47	 会议	 n
47	 ADV	 48	 上	 nd
48	 ATT	 52	 通过	 v
49	 RAD	 48	 的	 u
50	 WP	 52	 《	 wp
51	 ATT	 52	 柏林	 ns
52	 ATT	 57	 授权	 v
53	 WP	 52	 》	 wp
54	 VOB	 52	 条款	 n
55	 RAD	 52	 的	 u
56	 ATT	 57	 执行	 v
57	 ATT	 61	 方面	 n
58	 RAD	 57	 的	 u
59	 ATT	 61	 一个	 m
60	 ATT	 61	 重要	 a
61	 ATT	 62	 步骤	 n
62	 VOB	 42	 1	 m
63	 WP	 40	 。	 wp

　　《议定书》中三种主要机制是：“第6条”项目(有人称之为“联合实施”，或JI)，“清洁发展机制”(CDM)，和“排放交易”(ET)2。
0	 ATT	 2	 	 nh
1	 WP	 2	 《	 wp
2	 ATT	 4	 议定书	 n
3	 WP	 2	 》	 wp
4	 ATT	 8	 中	 nd
5	 ATT	 6	 三	 m
6	 ATT	 8	 种	 q
7	 ATT	 8	 主要	 b
8	 SBV	 9	 机制	 n
9	 HED	 -1	 是	 v
10	 WP	 9	 ：	 wp
11	 WP	 14	 “	 wp
12	 ATT	 13	 第	 m
13	 ATT	 14	 6	 m
14	 VOB	 9	 条	 q
15	 WP	 14	 ”	 wp
16	 FOB	 19	 项目	 n
17	 WP	 16	 (	 wp
18	 SBV	 19	 有人	 r
19	 SBV	 26	 称之为	 v
20	 WP	 21	 “	 wp
21	 VOB	 19	 联合	 v
22	 COO	 21	 实施	 v
23	 WP	 21	 ”	 wp
24	 WP	 19	 ，	 wp
25	 LAD	 26	 或	 c
26	 COO	 14	 JI	 n
27	 WP	 14	 )	 wp
28	 WP	 14	 ，	 wp
29	 WP	 31	 “	 wp
30	 ADV	 31	 清洁	 a
31	 COO	 14	 发展	 v
32	 VOB	 31	 机制	 n
33	 WP	 14	 ”	 wp
34	 WP	 14	 (	 wp
35	 WP	 14	 CDM	 ws
36	 WP	 14	 )	 wp
37	 WP	 14	 ，	 wp
38	 WP	 14	 和	 p
39	 WP	 41	 “	 wp
40	 ADV	 41	 排放	 v
41	 POB	 38	 交易	 v
42	 WP	 14	 ”	 wp
43	 WP	 14	 (	 wp
44	 WP	 14	 ET	 ws
45	 WP	 14	 )	 wp
46	 COO	 14	 2	 m
47	 WP	 9	 。	 wp

把这三种机制联系在一起的共同主题是如下设想：《议定书》运行的最高效途径是使各缔约方和/或市场实体能购买或投资于排放削减机会，然后可以利用它们来抵销附录I缔约方的QELRCs。
0	 ADV	 5	 把	 p
1	 ATT	 3	 这	 r
2	 ATT	 3	 三	 m
3	 ATT	 4	 种	 q
4	 POB	 0	 机制	 n
5	 ATT	 10	 联系	 v
6	 CMP	 5	 在	 p
7	 POB	 6	 一起	 nl
8	 RAD	 5	 的	 u
9	 ATT	 10	 共同	 b
10	 SBV	 11	 主题	 n
11	 HED	 -1	 是	 v
12	 VOB	 11	 如下	 v
13	 VOB	 12	 设想	 v
14	 WP	 11	 ：	 wp
15	 WP	 16	 《	 wp
16	 SBV	 18	 议定书	 n
17	 WP	 16	 》	 wp
18	 ATT	 22	 运行	 v
19	 RAD	 18	 的	 u
20	 ADV	 21	 最	 d
21	 ATT	 22	 高效	 b
22	 SBV	 23	 途径	 n
23	 COO	 11	 是	 v
24	 VOB	 23	 使	 v
25	 ATT	 26	 各	 r
26	 DBL	 24	 缔约方	 n
27	 LAD	 31	 和	 c
28	 WP	 27	 /	 wp
29	 LAD	 31	 或	 c
30	 ATT	 31	 市场	 n
31	 COO	 26	 实体能	 n
32	 VOB	 24	 购买	 v
33	 LAD	 34	 或	 c
34	 COO	 32	 投资	 v
35	 CMP	 34	 于	 p
36	 POB	 35	 排放	 v
37	 ATT	 38	 削减	 v
38	 VOB	 36	 机会	 n
39	 WP	 24	 ，	 wp
40	 ADV	 42	 然后	 c
41	 ADV	 42	 可以	 v
42	 COO	 24	 利用	 v
43	 ATT	 51	 它们	 r
44	 ATT	 51	 来	 v
45	 COO	 44	 抵	 v
46	 COO	 45	 销	 v
47	 ATT	 49	 附录	 n
48	 VOB	 47	 I	 ws
49	 VOB	 45	 缔约方	 n
50	 RAD	 44	 的	 u
51	 VOB	 42	 QELRCs	 n
52	 WP	 11	 。	 wp

　　本文主要侧重于CDM，即一种双目的机制。
0	 ADV	 3	 	 v
1	 SBV	 3	 本文	 r
2	 ADV	 3	 主要	 d
3	 HED	 -1	 侧重	 v
4	 CMP	 3	 于	 p
5	 POB	 4	 CDM	 ws
6	 WP	 3	 ，	 wp
7	 COO	 3	 即	 v
8	 ATT	 9	 一	 m
9	 ATT	 12	 种	 q
10	 ATT	 12	 双目	 n
11	 RAD	 10	 的	 u
12	 VOB	 7	 机制	 n
13	 WP	 3	 。	 wp

它有两个主要目标：1)帮助发展中国家“实现可持续发展和对《公约》最终目标做出贡献”，和2)使附录I缔约方能“利用”因CDM项目活动而自然增长的“经认证排放量削减”(CERs)来履行其“第3条”QELRCs的“一部分”3。
0	 SBV	 1	 它	 r
1	 HED	 -1	 有	 v
2	 ATT	 3	 两	 m
3	 ATT	 5	 个	 q
4	 ATT	 5	 主要	 b
5	 VOB	 1	 目标	 n
6	 WP	 1	 ：	 wp
7	 SBV	 9	 1	 m
8	 WP	 7	 )	 wp
9	 COO	 1	 帮助	 v
10	 VOB	 9	 发展中国家	 i
11	 WP	 12	 “	 wp
12	 COO	 10	 实现	 v
13	 ADV	 14	 可	 v
14	 ADV	 15	 持续	 v
15	 VOB	 12	 发展	 v
16	 LAD	 23	 和	 c
17	 ADV	 23	 对	 p
18	 WP	 19	 《	 wp
19	 ATT	 22	 公约	 n
20	 WP	 19	 》	 wp
21	 ATT	 22	 最终	 b
22	 POB	 17	 目标	 n
23	 COO	 15	 做出	 v
24	 VOB	 23	 贡献	 n
25	 WP	 15	 ”	 wp
26	 WP	 15	 ，	 wp
27	 ADV	 30	 和	 p
28	 POB	 27	 2	 m
29	 WP	 27	 )	 wp
30	 COO	 15	 使	 v
31	 DBL	 30	 附录	 n
32	 SBV	 33	 I	 ws
33	 ATT	 34	 缔约	 v
34	 VOB	 30	 方	 d
35	 ADV	 45	 能	 v
36	 WP	 37	 “	 wp
37	 COO	 35	 利用	 v
38	 WP	 37	 ”	 wp
39	 ADV	 45	 因	 p
40	 ATT	 41	 CDM	 ws
41	 ATT	 42	 项目	 n
42	 POB	 39	 活动	 v
43	 ADV	 45	 而	 c
44	 ADV	 45	 自然	 d
45	 ATT	 51	 增长	 v
46	 RAD	 45	 的	 u
47	 WP	 51	 “	 wp
48	 ADV	 51	 经	 p
49	 POB	 48	 认证	 v
50	 VOB	 49	 排放量	 n
51	 POB	 34	 削减	 v
52	 WP	 15	 ”	 wp
53	 WP	 15	 (	 wp
54	 VOB	 12	 CERs	 ws
55	 WP	 10	 )	 wp
56	 ADV	 57	 来	 v
57	 SBV	 62	 履行	 v
58	 ATT	 60	 其	 r
59	 WP	 60	 “	 wp
60	 VOB	 57	 第3条	 n
61	 WP	 60	 ”	 wp
62	 ATT	 65	 QELRCs	 v
63	 RAD	 62	 的	 u
64	 WP	 65	 “	 wp
65	 COO	 10	 一部分	 m
66	 WP	 65	 ”	 wp
67	 COO	 65	 3	 m
68	 WP	 1	 。	 wp

本文重点说明发展中国家及其私有部门实体在京都会议后阶段需要侧重的、与在CDM范围内开展的排放量削减活动的实施有关的某些关键关注。
0	 SBV	 2	 本文	 r
1	 ADV	 2	 重点	 d
2	 HED	 -1	 说明	 v
3	 SBV	 13	 发展中国家	 i
4	 LAD	 7	 及其	 c
5	 ATT	 6	 私有	 v
6	 ATT	 7	 部门	 n
7	 COO	 3	 实体	 n
8	 ADV	 13	 在	 p
9	 ATT	 10	 京都	 ns
10	 ATT	 12	 会议	 n
11	 ATT	 12	 后	 nd
12	 POB	 8	 阶段	 n
13	 VOB	 2	 需要	 v
14	 VOB	 13	 侧重	 v
15	 RAD	 13	 的	 u
16	 WP	 33	 、	 wp
17	 ADV	 29	 与	 p
18	 ADV	 22	 在	 p
19	 ATT	 20	 CDM	 ws
20	 ATT	 21	 范围	 n
21	 POB	 18	 内	 nd
22	 ATT	 24	 开展	 v
23	 RAD	 22	 的	 u
24	 SBV	 28	 排放量	 n
25	 ADV	 28	 削减	 v
26	 VOB	 25	 活动	 v
27	 RAD	 25	 的	 u
28	 POB	 17	 实施	 v
29	 ATT	 33	 有关	 v
30	 RAD	 29	 的	 u
31	 ATT	 32	 某些	 r
32	 ADV	 33	 关键	 a
33	 ADV	 15	 关注	 v
34	 WP	 2	 。	 wp

这些关注分为两类：1)对CDM的总体实施有影响的关键未解决问题，和2)对CDM的有效性有特殊影响的、与在这三种机制范围内开展的排放量削减活动有关的关键差异。
0	 ATT	 1	 这些	 r
1	 HED	 -1	 关注	 v
2	 COO	 1	 分为	 v
3	 ATT	 4	 两	 m
4	 VOB	 2	 类	 q
5	 WP	 1	 ：	 wp
6	 ADV	 18	 1	 m
7	 WP	 18	 )	 wp
8	 ADV	 12	 对	 p
9	 ATT	 11	 CDM	 ws
10	 RAD	 9	 的	 u
11	 POB	 8	 总体	 n
12	 SBV	 18	 实施	 v
13	 ATT	 16	 有	 v
14	 VOB	 13	 影响	 v
15	 RAD	 13	 的	 u
16	 VOB	 12	 关键	 n
17	 ADV	 18	 未	 d
18	 COO	 1	 解决	 v
19	 VOB	 18	 问题	 n
20	 WP	 1	 ，	 wp
21	 COO	 1	 和	 p
22	 ADV	 49	 2	 m
23	 WP	 28	 )	 wp
24	 ADV	 28	 对	 p
25	 ATT	 27	 CDM	 ws
26	 RAD	 25	 的	 u
27	 POB	 24	 有效性	 n
28	 FOB	 49	 有	 v
29	 ATT	 30	 特殊	 a
30	 VOB	 28	 影响	 v
31	 RAD	 28	 的	 u
32	 WP	 46	 、	 wp
33	 ADV	 46	 与	 p
34	 ADV	 41	 在	 p
35	 ATT	 37	 这	 r
36	 ATT	 37	 三	 m
37	 ATT	 39	 种	 q
38	 ATT	 39	 机制	 n
39	 ATT	 40	 范围	 n
40	 POB	 34	 内	 nd
41	 ATT	 43	 开展	 v
42	 RAD	 41	 的	 u
43	 SBV	 45	 排放量	 n
44	 ATT	 45	 削减	 v
45	 POB	 33	 活动	 v
46	 ATT	 49	 有关	 v
47	 RAD	 46	 的	 u
48	 ATT	 49	 关键	 n
49	 POB	 21	 差异	 n
50	 WP	 1	 。	 wp

CDM：未解决的问题　　尽管被宣布为涉及发达国家和发展中国家以及私有部门和公有部门实施的、最激动人心的新交易机制之一，但还有关于CDM实施的若干未解决问题，其中包括词义不明确、资金安排和认证程序不清楚、体制形式含糊。
0	 ATT	 6	 CDM	 ws
1	 WP	 0	 ：	 wp
2	 ADV	 3	 未	 d
3	 ATT	 5	 解决	 v
4	 RAD	 3	 的	 u
5	 ATT	 6	 问题	 n
6	 FOB	 9	 	 n
7	 ADV	 9	 尽管	 c
8	 ADV	 9	 被	 p
9	 HED	 -1	 宣布	 v
10	 ADV	 21	 为	 v
11	 VOB	 10	 涉及	 v
12	 VOB	 11	 发达国家	 i
13	 LAD	 14	 和	 c
14	 COO	 12	 发展中国家	 i
15	 LAD	 17	 以及	 c
16	 ATT	 17	 私有	 v
17	 COO	 14	 部门	 n
18	 LAD	 20	 和	 c
19	 ATT	 20	 公有	 b
20	 COO	 17	 部门	 n
21	 ATT	 29	 实施	 v
22	 RAD	 21	 的	 u
23	 WP	 25	 、	 wp
24	 ADV	 25	 最	 d
25	 ATT	 29	 激动人心	 i
26	 RAD	 25	 的	 u
27	 ATT	 29	 新	 a
28	 ATT	 29	 交易	 v
29	 ATT	 30	 机制	 n
30	 VOB	 9	 之一	 r
31	 WP	 9	 ，	 wp
32	 ADV	 33	 但	 c
33	 COO	 9	 还有	 v
34	 SBV	 40	 关于	 p
35	 SBV	 36	 CDM	 ws
36	 POB	 34	 实施	 v
37	 RAD	 34	 的	 u
38	 SBV	 40	 若干	 m
39	 ADV	 40	 未	 d
40	 VOB	 33	 解决	 v
41	 VOB	 40	 问题	 n
42	 WP	 9	 ，	 wp
43	 SBV	 44	 其中	 r
44	 SBV	 47	 包括	 v
45	 VOB	 44	 词义	 n
46	 ADV	 47	 不	 d
47	 COO	 55	 明确	 a
48	 WP	 50	 、	 wp
49	 FOB	 50	 资金	 n
50	 SBV	 55	 安排	 v
51	 LAD	 52	 和	 c
52	 COO	 50	 认证	 v
53	 DBL	 50	 程序	 n
54	 ADV	 55	 不	 d
55	 COO	 9	 清楚	 a
56	 WP	 59	 、	 wp
57	 ATT	 58	 体制	 n
58	 SBV	 59	 形式	 n
59	 COO	 55	 含糊	 a
60	 WP	 9	 。	 wp

有歧义的语言　　CDM的核心是第12。
0	 ATT	 4	 有	 v
1	 VOB	 0	 歧义	 n
2	 RAD	 0	 的	 u
3	 ATT	 4	 语言	 n
4	 ATT	 7	 	 n
5	 ATT	 7	 CDM	 ws
6	 RAD	 5	 的	 u
7	 SBV	 8	 核心	 n
8	 HED	 -1	 是	 v
9	 VOB	 8	 第12	 m
10	 WP	 8	 。	 wp

3条，它描述了发展中国家与发达国家之间交易的性质。
0	 ATT	 1	 3	 m
1	 ADV	 4	 条	 q
2	 WP	 1	 ，	 wp
3	 SBV	 4	 它	 r
4	 HED	 -1	 描述	 v
5	 RAD	 4	 了	 u
6	 SBV	 10	 发展中国家	 i
7	 ADV	 10	 与	 p
8	 ATT	 9	 发达国家	 i
9	 POB	 7	 之间	 nd
10	 ATT	 12	 交易	 v
11	 RAD	 10	 的	 u
12	 VOB	 4	 性质	 n
13	 WP	 4	 。	 wp

这里，可以注意的是，赞成GHG(温室气体)补偿投资业务的总论点是假定削减碳排放量的成本在过渡经济国家中较低，在发展中国家中更廉价，因此，实现这些削减的成本对于经合组织国家达到有约束力的GHG削减来说会是一种不太昂贵的选择4。
0	 ADV	 5	 这里	 r
1	 WP	 0	 ，	 wp
2	 ADV	 5	 可以	 v
3	 SBV	 5	 注意	 v
4	 RAD	 3	 的	 u
5	 HED	 -1	 是	 v
6	 WP	 5	 ，	 wp
7	 VOB	 5	 赞成	 v
8	 VOB	 7	 GHG	 ws
9	 WP	 8	 (	 wp
10	 ATT	 11	 温室	 n
11	 SBV	 31	 气体	 n
12	 WP	 18	 )	 wp
13	 ATT	 17	 补偿	 v
14	 COO	 13	 投资	 v
15	 VOB	 14	 业务	 n
16	 RAD	 13	 的	 u
17	 SBV	 18	 总论点	 n
18	 ATT	 24	 是	 v
19	 VOB	 18	 假定	 v
20	 ATT	 24	 削减	 v
21	 ATT	 22	 碳	 n
22	 VOB	 20	 排放量	 n
23	 RAD	 20	 的	 u
24	 SBV	 31	 成本	 n
25	 ADV	 31	 在	 p
26	 ATT	 29	 过渡	 v
27	 ATT	 28	 经济	 n
28	 VOB	 26	 国家	 n
29	 POB	 25	 中	 nd
30	 ADV	 31	 较	 d
31	 COO	 8	 低	 a
32	 WP	 31	 ，	 wp
33	 ADV	 37	 在	 p
34	 ATT	 35	 发展中国家	 i
35	 POB	 33	 中	 nd
36	 ADV	 37	 更	 d
37	 COO	 31	 廉价	 a
38	 WP	 5	 ，	 wp
39	 ADV	 58	 因此	 c
40	 WP	 39	 ，	 wp
41	 SBV	 58	 实现	 v
42	 ATT	 45	 这些	 r
43	 ATT	 45	 削减	 v
44	 RAD	 43	 的	 u
45	 VOB	 41	 成本	 n
46	 ADV	 58	 对于	 p
47	 ATT	 48	 经合	 j
48	 ATT	 49	 组织	 n
49	 SBV	 50	 国家	 n
50	 POB	 46	 达到	 v
51	 VOB	 50	 有	 v
52	 VOB	 51	 约束力	 n
53	 RAD	 51	 的	 u
54	 SBV	 55	 GHG	 ws
55	 VOB	 50	 削减	 v
56	 RAD	 46	 来说	 u
57	 ADV	 58	 会	 v
58	 COO	 5	 是	 v
59	 ATT	 60	 一	 m
60	 FOB	 65	 种	 q
61	 ADV	 65	 不	 d
62	 ADV	 63	 太	 d
63	 ADV	 65	 昂贵	 a
64	 RAD	 63	 的	 u
65	 VOB	 58	 选择	 v
66	 VOB	 65	 4	 m
67	 WP	 5	 。	 wp

第12。
0	 HED	 -1	 第12	 m
1	 WP	 0	 。	 wp

3(a)条中关于发展中国家“将受益于那些导致经认证的排放量削减的项目活动”的含糊论断使这一条整个变得无法证实。
0	 ADV	 25	 3	 m
1	 WP	 25	 (	 wp
2	 ATT	 4	 a	 nh
3	 WP	 2	 )	 wp
4	 ATT	 5	 条	 n
5	 ATT	 25	 中	 nd
6	 ATT	 24	 关于	 p
7	 ATT	 10	 发展中国家	 i
8	 WP	 10	 “	 wp
9	 ADV	 10	 将	 d
10	 POB	 6	 受益	 v
11	 CMP	 10	 于	 p
12	 ATT	 20	 那些	 r
13	 ATT	 20	 导致	 v
14	 ADV	 18	 经	 p
15	 ATT	 17	 认证	 v
16	 RAD	 15	 的	 u
17	 POB	 14	 排放量	 n
18	 VOB	 13	 削减	 v
19	 RAD	 13	 的	 u
20	 ATT	 21	 项目	 n
21	 POB	 11	 活动	 v
22	 WP	 10	 ”	 wp
23	 RAD	 6	 的	 u
24	 ADV	 25	 含糊	 a
25	 SBV	 26	 论断	 v
26	 HED	 -1	 使	 v
27	 ATT	 29	 这	 r
28	 ATT	 29	 一	 m
29	 DBL	 26	 条	 q
30	 ATT	 31	 整个	 b
31	 VOB	 26	 变	 v
32	 RAD	 31	 得	 u
33	 ADV	 34	 无法	 v
34	 CMP	 31	 证实	 v
35	 WP	 26	 。	 wp

第12。
0	 HED	 -1	 第12	 m
1	 WP	 0	 。	 wp

3(b)条也是含糊的，只是说附录I缔约方可以使用CDM项目活动所产生的CERs来抵销其QELRCs的“一部分”。
0	 ATT	 2	 3	 m
1	 WP	 2	 (	 wp
2	 ATT	 4	 b	 n
3	 WP	 2	 )	 wp
4	 SBV	 6	 条	 n
5	 ADV	 6	 也	 d
6	 HED	 -1	 是	 v
7	 VOB	 6	 含糊	 a
8	 RAD	 7	 的	 u
9	 WP	 6	 ，	 wp
10	 ADV	 11	 只是	 c
11	 COO	 6	 说	 v
12	 ATT	 15	 附录	 n
13	 SBV	 14	 I	 ws
14	 ATT	 15	 缔约	 v
15	 SBV	 22	 方	 d
16	 ADV	 22	 可以	 v
17	 SBV	 22	 使用	 v
18	 ATT	 19	 CDM	 ws
19	 VOB	 17	 项目	 n
20	 COO	 17	 活动	 v
21	 LAD	 22	 所	 u
22	 ADV	 26	 产生	 v
23	 RAD	 22	 的	 u
24	 SBV	 25	 CERs	 ws
25	 ADV	 26	 来	 v
26	 ATT	 32	 抵	 v
27	 COO	 26	 销	 v
28	 SBV	 29	 其	 r
