资本形成是一国经济发展，特别是发展中国家经济增长的最重要战略因素之一。
0	 SBV	 3	 ﻿	 v
2	 POB	 1	 政府	 n
3	 ATT	 7	 储蓄	 v
4	 RAD	 3	 的	 u
5	 SBV	 7	 界定	 v
6	 ADV	 7	 不	 d
7	 HED	 -1	 一致	 a
8	 WP	 7	 ，	 wp
9	 LAD	 10	 所	 u
10	 ATT	 12	 得到	 v
11	 RAD	 10	 的	 u
12	 SBV	 13	 结论	 n
13	 COO	 7	 大相径庭	 i
14	 WP	 7	 。	 wp

本文首先从政府储蓄的界定开始，讨论我国政府储蓄的变化态势。
0	 SBV	 4	 本文	 r
1	 ADV	 4	 首先	 d
2	 ADV	 4	 从	 p
3	 POB	 2	 政府	 n
4	 ATT	 7	 储蓄	 v
5	 RAD	 4	 的	 u
6	 SBV	 7	 界定	 v
7	 HED	 -1	 开始	 v
8	 WP	 7	 ，	 wp
9	 COO	 7	 讨论	 v
10	 ATT	 11	 我国	 n
11	 SBV	 12	 政府	 n
12	 ATT	 15	 储蓄	 v
13	 RAD	 12	 的	 u
14	 ATT	 15	 变化	 v
15	 VOB	 9	 态势	 n
16	 WP	 7	 。	 wp

由于提高政府储蓄率的前提条件是改善经常性收支总额之间的关系。
0	 ADV	 7	 由于	 c
1	 ATT	 5	 提高	 v
2	 ATT	 3	 政府	 n
3	 VOB	 1	 储蓄率	 n
4	 RAD	 1	 的	 u
5	 ATT	 6	 前提	 n
6	 SBV	 7	 条件	 n
7	 HED	 -1	 是	 v
8	 ATT	 12	 改善	 v
9	 ATT	 10	 经常性	 n
10	 ATT	 11	 收支	 n
11	 VOB	 8	 总额	 n
12	 ATT	 14	 之间	 nd
13	 RAD	 12	 的	 u
14	 VOB	 7	 关系	 n
15	 WP	 7	 。	 wp

这种关系牵涉到一系列重要的政策问题：增加政府储蓄是应当增加税收还是削减支出？经济体系将对增加政府储蓄的财政政策作出怎样的反应？政策引致的政府储蓄增加（预算赤字减少）从长期意义上说会提高国民储蓄率吗？政府储蓄的增加会因私人储蓄的按比例降低而被抵消吗？。
0	 ATT	 1	 这种	 r
1	 SBV	 2	 关系	 n
2	 HED	 -1	 牵涉	 v
3	 CMP	 2	 到	 v
4	 ATT	 5	 一	 m
5	 ATT	 9	 系列	 q
6	 ATT	 9	 重要	 a
7	 RAD	 6	 的	 u
8	 ATT	 9	 政策	 n
9	 VOB	 2	 问题	 n
10	 WP	 2	 ：	 wp
11	 SBV	 16	 增加	 v
12	 SBV	 13	 政府	 n
13	 SBV	 14	 储蓄	 v
14	 VOB	 11	 是	 v
15	 ADV	 16	 应当	 v
16	 SBV	 19	 增加	 v
17	 VOB	 16	 税收	 n
18	 ADV	 19	 还	 d
19	 COO	 2	 是	 v
20	 VOB	 19	 削减	 v
21	 VOB	 20	 支出	 n
22	 WP	 2	 ？	 wp

这种关系牵涉到一系列重要的政策问题：增加政府储蓄是应当增加税收还是削减支出？经济体系将对增加政府储蓄的财政政策作出怎样的反应？政策引致的政府储蓄增加（预算赤字减少）从长期意义上说会提高国民储蓄率吗？政府储蓄的增加会因私人储蓄的按比例降低而被抵消吗？。
0	 ATT	 1	 经济	 n
1	 SBV	 10	 体系	 n
2	 ADV	 10	 将	 d
3	 ADV	 10	 对	 p
4	 POB	 3	 增加	 v
5	 SBV	 6	 政府	 n
6	 ATT	 9	 储蓄	 v
7	 RAD	 6	 的	 u
8	 ATT	 9	 财政	 n
9	 VOB	 4	 政策	 n
10	 HED	 -1	 作出	 v
11	 ATT	 13	 怎样	 r
12	 RAD	 11	 的	 u
13	 VOB	 10	 反应	 v
14	 WP	 10	 ？	 wp

这种关系牵涉到一系列重要的政策问题：增加政府储蓄是应当增加税收还是削减支出？经济体系将对增加政府储蓄的财政政策作出怎样的反应？政策引致的政府储蓄增加（预算赤字减少）从长期意义上说会提高国民储蓄率吗？政府储蓄的增加会因私人储蓄的按比例降低而被抵消吗？。
0	 SBV	 1	 政策	 n
1	 ATT	 3	 引致	 v
2	 RAD	 1	 的	 u
3	 SBV	 4	 政府	 n
4	 ADV	 5	 储蓄	 v
5	 HED	 -1	 增加	 v
6	 WP	 9	 （	 wp
7	 ATT	 8	 预算	 n
8	 SBV	 9	 赤字	 n
9	 COO	 5	 减少	 v
10	 WP	 9	 ）	 wp
11	 ADV	 17	 从	 p
12	 ATT	 13	 长期	 b
13	 ATT	 14	 意义	 n
14	 POB	 11	 上	 nd
15	 RAD	 11	 说	 v
16	 ADV	 17	 会	 v
17	 COO	 5	 提高	 v
18	 ATT	 19	 国民	 n
19	 VOB	 17	 储蓄率	 n
20	 RAD	 17	 吗	 u
21	 WP	 5	 ？	 wp

这种关系牵涉到一系列重要的政策问题：增加政府储蓄是应当增加税收还是削减支出？经济体系将对增加政府储蓄的财政政策作出怎样的反应？政策引致的政府储蓄增加（预算赤字减少）从长期意义上说会提高国民储蓄率吗？政府储蓄的增加会因私人储蓄的按比例降低而被抵消吗？。
0	 SBV	 1	 政府	 n
1	 ATT	 4	 储蓄	 v
2	 RAD	 1	 的	 u
3	 ATT	 4	 增加	 v
4	 ADV	 14	 会	 v
5	 ADV	 14	 因	 p
6	 SBV	 7	 私人	 n
7	 ADV	 11	 储蓄	 v
8	 RAD	 7	 的	 u
9	 ADV	 11	 按	 p
10	 POB	 9	 比例	 n
11	 POB	 5	 降低	 v
12	 ADV	 14	 而	 c
13	 ADV	 14	 被	 p
14	 HED	 -1	 抵消	 v
15	 RAD	 14	 吗	 u
16	 WP	 14	 ？	 wp

这种关系牵涉到一系列重要的政策问题：增加政府储蓄是应当增加税收还是削减支出？经济体系将对增加政府储蓄的财政政策作出怎样的反应？政策引致的政府储蓄增加（预算赤字减少）从长期意义上说会提高国民储蓄率吗？政府储蓄的增加会因私人储蓄的按比例降低而被抵消吗？。
0	 HED	 -1	 。	 wp

