【 文献号 】1-3101【原文出处】中国文化报【原刊地名】京【原刊期号】19960526【原刊页号】⑴【分 类 号】J1【分 类 名】文艺理论【 作  者 】刘忠德【复印期号】199607【 标  题 】在１９９６年全国艺术创作会议上的讲话【 正  文 】    （1996年4月16日于北京）    同志们：    1996年全国艺术创作会议今天开幕了。
0	 ADV	 8	 ﻿	 v
首先，我代表文化部向全体与会同志，并通过你们向全国的广大艺术工作者致以诚挚的问候！    今年的全国艺术创作会议是在新形势下召开的。
0	 ATT	 3	 今年	 nt
1	 RAD	 0	 的	 u
2	 ATT	 3	 全国	 n
3	 SBV	 4	 艺术	 n
4	 ATT	 5	 创作	 v
5	 SBV	 6	 会议	 n
6	 HED	 -1	 是	 v
7	 ADV	 11	 在	 p
8	 ATT	 9	 新	 a
9	 ATT	 10	 形势	 n
10	 POB	 7	 下	 nd
11	 VOB	 6	 召开	 v
12	 RAD	 11	 的	 u
13	 WP	 6	 。	 wp

其次，刚刚闭幕的八届全国人大四次会议通过了《关于国民经济和社会发展“九五”计划和2010年远景目标纲要》，这既是今后一个时期我国政治、经济、文化等各项工作的一个指导性文件，同时也明确提出了今后一个时期各项工作的奋斗目标。
0	 ADV	 12	 其次	 c
1	 WP	 0	 ，	 wp
2	 ADV	 3	 刚刚	 d
3	 ATT	 11	 闭幕	 v
4	 RAD	 3	 的	 u
5	 ATT	 6	 八	 m
6	 ATT	 8	 届	 q
7	 ATT	 8	 全国	 n
8	 ATT	 11	 人大	 j
9	 ATT	 10	 四	 m
10	 ATT	 11	 次	 q
11	 SBV	 12	 会议	 n
12	 HED	 -1	 通过	 v
13	 RAD	 12	 了	 u
14	 WP	 19	 《	 wp
15	 ADV	 19	 关于	 p
16	 POB	 15	 国民经济	 n
17	 LAD	 18	 和	 c
18	 COO	 16	 社会	 n
19	 VOB	 12	 发展	 v
20	 WP	 21	 “	 wp
21	 ATT	 23	 九五	 m
22	 WP	 21	 ”	 wp
23	 VOB	 19	 计划	 n
24	 LAD	 28	 和	 c
25	 ATT	 27	 2010年	 nt
26	 ATT	 27	 远景	 n
27	 ATT	 28	 目标	 n
28	 COO	 23	 纲要	 n
29	 WP	 23	 》	 wp
30	 WP	 12	 ，	 wp
31	 SBV	 33	 这	 r
32	 ADV	 33	 既	 c
33	 COO	 12	 是	 v
34	 ATT	 49	 今后	 nt
35	 ATT	 36	 一个	 m
36	 ATT	 38	 时期	 n
37	 ATT	 38	 我国	 n
38	 ATT	 49	 政治	 n
39	 WP	 40	 、	 wp
40	 COO	 38	 经济	 n
41	 WP	 42	 、	 wp
42	 COO	 38	 文化	 n
43	 RAD	 38	 等	 u
44	 ATT	 49	 各项	 r
45	 ATT	 49	 工作	 v
46	 RAD	 45	 的	 u
47	 ATT	 49	 一个	 m
48	 ATT	 49	 指导性	 n
49	 VOB	 33	 文件	 n
50	 WP	 12	 ，	 wp
51	 ADV	 54	 同时	 c
52	 ADV	 54	 也	 d
53	 ADV	 54	 明确	 a
54	 COO	 12	 提出	 v
55	 RAD	 54	 了	 u
56	 ATT	 63	 今后	 nt
57	 ATT	 58	 一个	 m
58	 ATT	 63	 时期	 n
59	 ATT	 63	 各项	 r
60	 ATT	 63	 工作	 v
61	 RAD	 60	 的	 u
62	 ATT	 63	 奋斗	 v
63	 VOB	 54	 目标	 n
64	 WP	 12	 。	 wp

这为我国艺术创作今后更进一步的发展既奠定了坚实的基础，同时也探索和积累了成功的经验。
0	 SBV	 10	 这	 r
1	 ADV	 10	 为	 p
2	 ATT	 3	 我国	 n
3	 SBV	 4	 艺术	 n
4	 ADV	 8	 创作	 v
5	 ADV	 8	 今后	 nt
6	 ADV	 8	 更进一步	 i
7	 RAD	 6	 的	 u
8	 POB	 1	 发展	 v
9	 ADV	 10	 既	 c
10	 HED	 -1	 奠定	 v
11	 RAD	 10	 了	 u
12	 ATT	 14	 坚实	 a
13	 RAD	 12	 的	 u
14	 VOB	 10	 基础	 n
15	 WP	 10	 ，	 wp
16	 ADV	 18	 同时	 c
17	 ADV	 18	 也	 d
18	 COO	 10	 探索	 v
19	 LAD	 20	 和	 c
20	 COO	 18	 积累	 v
21	 RAD	 20	 了	 u
22	 ATT	 24	 成功	 a
23	 RAD	 22	 的	 u
24	 VOB	 20	 经验	 n
25	 WP	 10	 。	 wp

    关于过去三年艺术创作的基本情况，我在今年的全国文化厅局长会议上的讲话中，已经做了简要的总结，因此，不再重复了。
0	 ADV	 24	 关于	 p
1	 ATT	 2	 过去	 nt
2	 ATT	 3	 三	 m
3	 ADV	 5	 年	 q
4	 SBV	 5	 艺术	 n
5	 ATT	 8	 创作	 v
6	 RAD	 5	 的	 u
7	 ATT	 8	 基本	 a
8	 POB	 0	 情况	 n
9	 WP	 0	 ，	 wp
10	 SBV	 24	 我	 r
11	 ADV	 24	 在	 p
12	 ATT	 17	 今年	 nt
13	 RAD	 12	 的	 u
14	 ATT	 17	 全国	 n
15	 ATT	 17	 文化	 n
16	 ATT	 17	 厅局长	 j
17	 ATT	 18	 会议	 n
18	 ATT	 20	 上	 nd
19	 RAD	 18	 的	 u
20	 ATT	 21	 讲话	 n
21	 POB	 11	 中	 nd
22	 WP	 11	 ，	 wp
23	 ADV	 24	 已经	 d
24	 HED	 -1	 做	 v
25	 RAD	 24	 了	 u
26	 ADV	 28	 简要	 a
27	 RAD	 26	 的	 u
28	 VOB	 24	 总结	 v
29	 WP	 24	 ，	 wp
30	 ADV	 33	 因此	 c
31	 WP	 30	 ，	 wp
32	 ADV	 33	 不再	 d
33	 COO	 24	 重复	 v
34	 RAD	 33	 了	 u
35	 WP	 24	 。	 wp

今天要讲的是今后怎么办？    我想，我们这次会议要研究部署今后一个时期的艺术创作，就必须首先明确艺术创作的根本任务，这就是江泽民总书记提出的“以优秀的作品鼓舞人”。
0	 ADV	 2	 今天	 nt
1	 ADV	 2	 要	 v
2	 SBV	 4	 讲	 v
3	 RAD	 2	 的	 u
4	 HED	 -1	 是	 v
5	 ATT	 6	 今后	 nt
6	 VOB	 4	 怎么办	 r
7	 WP	 4	 ？	 wp

今天要讲的是今后怎么办？    我想，我们这次会议要研究部署今后一个时期的艺术创作，就必须首先明确艺术创作的根本任务，这就是江泽民总书记提出的“以优秀的作品鼓舞人”。
0	 SBV	 1	 我	 r
1	 HED	 -1	 想	 v
2	 WP	 1	 ，	 wp
3	 ATT	 6	 我们	 r
4	 ATT	 5	 这	 r
5	 ATT	 6	 次	 q
6	 SBV	 8	 会议	 n
7	 ADV	 8	 要	 v
8	 VOB	 1	 研究	 v
9	 COO	 8	 部署	 v
10	 ATT	 12	 今后	 nt
11	 ATT	 12	 一个	 m
12	 ATT	 15	 时期	 n
13	 RAD	 12	 的	 u
14	 ATT	 15	 艺术	 n
15	 ATT	 25	 创作	 v
16	 WP	 15	 ，	 wp
17	 ADV	 22	 就	 d
18	 ADV	 22	 必须	 d
19	 ADV	 22	 首先	 d
20	 ATT	 21	 明确	 a
21	 SBV	 22	 艺术	 n
22	 VOB	 15	 创作	 v
23	 RAD	 15	 的	 u
24	 ATT	 25	 根本	 a
25	 VOB	 8	 任务	 n
26	 WP	 8	 ，	 wp
27	 SBV	 29	 这	 r
28	 ADV	 29	 就	 d
29	 COO	 8	 是	 v
30	 ATT	 31	 江泽民	 nh
31	 SBV	 32	 总书记	 n
32	 ATT	 40	 提出	 v
33	 RAD	 32	 的	 u
34	 WP	 40	 “	 wp
35	 ADV	 39	 以	 p
36	 ATT	 38	 优秀	 a
37	 RAD	 36	 的	 u
38	 POB	 35	 作品	 n
39	 ATT	 40	 鼓舞	 v
40	 VOB	 29	 人	 n
41	 WP	 8	 ”	 wp
42	 WP	 1	 。	 wp

完成这一根本任务，是中央的期望，是人民的要求，是时代的呼唤。
0	 SBV	 6	 完成	 v
1	 ATT	 2	 这	 r
2	 ATT	 4	 一	 m
3	 ATT	 4	 根本	 a
4	 VOB	 0	 任务	 n
5	 WP	 0	 ，	 wp
6	 HED	 -1	 是	 v
7	 ADV	 9	 中央	 n
8	 RAD	 7	 的	 u
9	 VOB	 6	 期望	 v
10	 WP	 6	 ，	 wp
11	 COO	 6	 是	 v
12	 ATT	 14	 人民	 n
13	 RAD	 12	 的	 u
14	 VOB	 11	 要求	 n
15	 WP	 6	 ，	 wp
16	 COO	 6	 是	 v
17	 ADV	 19	 时代	 n
18	 RAD	 17	 的	 u
19	 VOB	 16	 呼唤	 v
20	 WP	 6	 。	 wp

因此，我们在今年的全国文化厅局长会议上，对今后五年繁荣文艺创作的问题提出了这样一个构想，即：坚持以内涵发展为主，通过实施精品战略，把文艺创作的着力点放到提高产品质量上，努力创作出更多的无愧于伟大时代的优秀作品。
0	 ADV	 21	 因此	 c
1	 WP	 0	 ，	 wp
2	 SBV	 21	 我们	 r
3	 ADV	 21	 在	 p
4	 ATT	 9	 今年	 nt
5	 RAD	 4	 的	 u
6	 ATT	 9	 全国	 n
7	 ATT	 9	 文化	 n
8	 ATT	 9	 厅局长	 j
9	 ATT	 10	 会议	 n
10	 POB	 3	 上	 nd
11	 WP	 3	 ，	 wp
12	 ADV	 21	 对	 p
13	 ATT	 15	 今后	 nt
14	 ATT	 15	 五	 m
15	 ADV	 16	 年	 q
16	 ATT	 20	 繁荣	 v
17	 SBV	 18	 文艺	 n
18	 VOB	 16	 创作	 v
19	 RAD	 16	 的	 u
20	 POB	 12	 问题	 n
21	 HED	 -1	 提出	 v
22	 RAD	 21	 了	 u
23	 ATT	 62	 这样	 r
24	 ATT	 62	 一个	 m
25	 ATT	 62	 构想	 v
26	 WP	 25	 ，	 wp
27	 CMP	 25	 即	 v
28	 WP	 27	 ：	 wp
29	 COO	 25	 坚持	 v
30	 ADV	 33	 以	 p
31	 FOB	 32	 内涵	 n
32	 POB	 30	 发展	 v
33	 VOB	 29	 为主	 v
34	 WP	 29	 ，	 wp
35	 ADV	 45	 通过	 p
36	 POB	 35	 实施	 v
37	 ATT	 38	 精品	 n
38	 VOB	 36	 战略	 n
39	 WP	 35	 ，	 wp
40	 ADV	 45	 把	 p
41	 SBV	 42	 文艺	 n
42	 ATT	 44	 创作	 v
43	 RAD	 42	 的	 u
44	 POB	 40	 着力点	 n
45	 COO	 29	 放到	 v
46	 ATT	 49	 提高	 v
47	 ATT	 48	 产品	 n
48	 VOB	 46	 质量	 n
49	 VOB	 45	 上	 nd
50	 WP	 45	 ，	 wp
51	 ADV	 52	 努力	 a
52	 COO	 45	 创作	 v
53	 CMP	 52	 出	 v
54	 ADV	 55	 更	 d
55	 ATT	 59	 多	 a
56	 RAD	 55	 的	 u
57	 ATT	 59	 无愧于	 v
58	 ATT	 59	 伟大	 a
59	 VOB	 52	 时代	 n
60	 RAD	 25	 的	 u
61	 ATT	 62	 优秀	 a
62	 VOB	 21	 作品	 n
63	 WP	 21	 。	 wp

为此，今天我想在这里再次强调一下正确处理好以下四个关系的问题：            第一、正确处理普遍繁荣与创作精品的关系    艺术精品的创作必须要建立在普遍繁荣的基础上，而艺术精品的创作又会在更高的层次上进一步推动艺术创作普遍的繁荣。
0	 ADV	 4	 为此	 d
1	 WP	 0	 ，	 wp
2	 ADV	 4	 今天	 nt
3	 SBV	 4	 我	 r
4	 HED	 -1	 想	 v
5	 ADV	 8	 在	 p
6	 POB	 5	 这里	 r
7	 ADV	 8	 再次	 d
8	 VOB	 4	 强调	 v
9	 CMP	 8	 一下	 m
10	 ADV	 11	 正确	 a
11	 ATT	 18	 处理	 v
12	 CMP	 11	 好	 a
13	 ATT	 16	 以下	 nd
14	 ATT	 15	 四	 m
15	 ATT	 16	 个	 q
16	 VOB	 11	 关系	 n
17	 RAD	 11	 的	 u
18	 VOB	 8	 问题	 n
19	 WP	 18	 ：	 wp
20	 ADV	 34	 第一	 m
21	 WP	 23	 、	 wp
22	 ADV	 23	 正确	 a
23	 SBV	 34	 处理	 v
24	 ATT	 32	 普遍	 a
25	 ATT	 30	 繁荣	 a
26	 LAD	 27	 与	 c
27	 COO	 25	 创作	 v
28	 VOB	 27	 精品	 n
29	 RAD	 25	 的	 u
30	 ATT	 32	 关系	 n
31	 ATT	 32	 艺术	 n
32	 VOB	 23	 精品	 n
33	 RAD	 23	 的	 u
34	 COO	 18	 创作	 v
35	 ADV	 37	 必须	 d
36	 ADV	 37	 要	 v
37	 COO	 34	 建立	 v
38	 CMP	 37	 在	 p
39	 ATT	 42	 普遍	 a
40	 COO	 39	 繁荣	 a
41	 RAD	 39	 的	 u
42	 ATT	 43	 基础	 n
43	 POB	 38	 上	 nd
44	 WP	 37	 ，	 wp
45	 ADV	 59	 而	 c
46	 ATT	 47	 艺术	 n
47	 ATT	 49	 精品	 n
48	 RAD	 47	 的	 u
49	 SBV	 59	 创作	 v
50	 ADV	 51	 又	 d
51	 ADV	 59	 会	 v
52	 ADV	 59	 在	 p
53	 ADV	 54	 更	 d
54	 ATT	 56	 高	 a
55	 RAD	 54	 的	 u
56	 ATT	 57	 层次	 n
57	 POB	 52	 上	 nd
58	 ADV	 59	 进一步	 d
59	 COO	 37	 推动	 v
60	 SBV	 61	 艺术	 n
61	 VOB	 59	 创作	 v
62	 ATT	 64	 普遍	 a
63	 RAD	 62	 的	 u
64	 VOB	 61	 繁荣	 a
65	 WP	 4	 。	 wp

我们讲，近年来的艺术创作出现了普遍繁荣的态势，但普遍繁荣仍有待于进一步发展和深化。
0	 SBV	 1	 我们	 r
1	 HED	 -1	 讲	 v
2	 WP	 1	 ，	 wp
3	 ATT	 5	 近年来	 i
4	 RAD	 3	 的	 u
5	 SBV	 7	 艺术	 n
6	 SBV	 7	 创作	 v
7	 VOB	 1	 出现	 v
8	 RAD	 7	 了	 u
9	 ATT	 12	 普遍	 a
10	 COO	 9	 繁荣	 a
11	 RAD	 9	 的	 u
12	 VOB	 7	 态势	 n
13	 WP	 7	 ，	 wp
14	 ADV	 18	 但	 c
15	 ADV	 18	 普遍	 a
16	 COO	 15	 繁荣	 a
17	 ADV	 18	 仍	 d
18	 COO	 7	 有待	 v
19	 CMP	 18	 于	 p
20	 ADV	 21	 进一步	 d
21	 POB	 19	 发展	 v
22	 LAD	 23	 和	 c
23	 COO	 21	 深化	 v
24	 WP	 1	 。	 wp

另一方面，就文艺发展的历史来看，艺术精品的涌现常常是艺术创作普遍繁荣的标志。
0	 ADV	 14	 另一方面	 c
1	 WP	 0	 ，	 wp
2	 ADV	 12	 就	 p
3	 SBV	 4	 文艺	 n
4	 ATT	 6	 发展	 v
5	 RAD	 4	 的	 u
6	 POB	 2	 历史	 n
7	 RAD	 2	 来看	 v
8	 WP	 7	 ，	 wp
9	 ATT	 10	 艺术	 n
10	 VOB	 7	 精品	 n
11	 RAD	 7	 的	 u
12	 SBV	 14	 涌现	 v
13	 ADV	 14	 常常	 d
14	 HED	 -1	 是	 v
15	 SBV	 16	 艺术	 n
16	 VOB	 14	 创作	 v
17	 ATT	 20	 普遍	 a
18	 COO	 17	 繁荣	 a
19	 RAD	 17	 的	 u
20	 VOB	 16	 标志	 n
21	 WP	 14	 。	 wp

江泽民总书记提出的“以优秀的作品鼓舞人”，就是在我国文艺普遍繁荣的情况下对我们广大文艺工作者提出的创作艺术精品的更高要求。
0	 ATT	 1	 江泽民	 nh
1	 SBV	 2	 总书记	 n
2	 ATT	 9	 提出	 v
3	 RAD	 2	 的	 u
4	 WP	 9	 “	 wp
5	 ADV	 9	 以	 p
6	 ATT	 8	 优秀	 a
7	 RAD	 6	 的	 u
8	 POB	 5	 作品	 n
9	 SBV	 14	 鼓舞	 v
10	 VOB	 9	 人	 n
11	 WP	 9	 ”	 wp
12	 WP	 9	 ，	 wp
13	 ADV	 14	 就	 d
14	 HED	 -1	 是	 v
15	 ADV	 27	 在	 p
16	 ATT	 17	 我国	 n
17	 ATT	 21	 文艺	 n
18	 ATT	 21	 普遍	 a
19	 COO	 18	 繁荣	 a
20	 RAD	 18	 的	 u
21	 ATT	 22	 情况	 n
22	 POB	 15	 下	 nd
23	 ADV	 27	 对	 p
24	 ATT	 26	 我们	 r
25	 ATT	 26	 广大	 b
26	 POB	 23	 文艺工作者	 n
27	 ATT	 35	 提出	 v
28	 RAD	 27	 的	 u
29	 ATT	 35	 创作	 v
30	 ATT	 31	 艺术	 n
31	 VOB	 29	 精品	 n
32	 RAD	 29	 的	 u
33	 ADV	 34	 更	 d
34	 ATT	 35	 高	 a
35	 VOB	 14	 要求	 n
36	 WP	 14	 。	 wp

江泽民总书记指出：“宣传文化工作能不能团结人民，鼓舞人民，在很大程度上要看有没有一大批好的精神产品。
0	 ATT	 1	 江泽民	 nh
1	 SBV	 2	 总书记	 n
2	 HED	 -1	 指出	 v
3	 WP	 2	 ：	 wp
4	 WP	 11	 “	 wp
5	 SBV	 11	 宣传	 v
6	 VOB	 5	 文化	 n
7	 COO	 5	 工作	 v
8	 ADV	 11	 能	 v
9	 ADV	 10	 不	 d
10	 ADV	 11	 能	 v
11	 VOB	 2	 团结	 v
12	 VOB	 11	 人民	 n
13	 WP	 11	 ，	 wp
14	 COO	 11	 鼓舞	 v
15	 VOB	 14	 人民	 n
16	 WP	 11	 ，	 wp
17	 ADV	 23	 在	 p
18	 ADV	 19	 很	 d
19	 ATT	 20	 大	 a
20	 ATT	 21	 程度	 n
21	 POB	 17	 上	 nd
22	 ADV	 23	 要	 v
23	 COO	 11	 看	 v
24	 VOB	 23	 有	 v
25	 ADV	 26	 没	 d
26	 COO	 24	 有	 v
27	 ATT	 29	 一	 m
28	 ATT	 29	 大	 a
29	 ATT	 33	 批	 q
30	 ATT	 33	 好	 a
31	 RAD	 30	 的	 u
32	 ATT	 33	 精神	 n
33	 VOB	 26	 产品	 n
34	 WP	 2	 。	 wp

没有优秀作品，就没有导向。
0	 HED	 -1	 没有	 v
1	 ATT	 2	 优秀	 a
2	 VOB	 0	 作品	 n
3	 WP	 0	 ，	 wp
4	 ADV	 5	 就	 d
5	 COO	 0	 没有	 v
6	 VOB	 5	 导向	 n
7	 WP	 0	 。	 wp

优秀作品是一个国家、一个时代精神文化水平的集中反映，对精神产品生产具有重要的示范和影响作用”。
0	 ATT	 1	 优秀	 a
1	 SBV	 2	 作品	 n
2	 HED	 -1	 是	 v
3	 ATT	 4	 一个	 m
4	 ATT	 10	 国家	 n
5	 WP	 9	 、	 wp
6	 ATT	 7	 一个	 m
7	 ATT	 9	 时代	 n
8	 ATT	 9	 精神	 n
9	 ATT	 10	 文化	 n
10	 SBV	 13	 水平	 n
11	 RAD	 10	 的	 u
12	 ADV	 13	 集中	 a
13	 VOB	 2	 反映	 v
14	 WP	 13	 ，	 wp
15	 ADV	 19	 对	 p
16	 ATT	 17	 精神	 n
17	 ATT	 18	 产品	 n
18	 POB	 15	 生产	 v
19	 VOB	 13	 具有	 v
20	 ATT	 25	 重要	 a
21	 RAD	 20	 的	 u
22	 ATT	 25	 示范	 v
23	 LAD	 24	 和	 c
24	 COO	 22	 影响	 v
25	 VOB	 19	 作用	 n
26	 WP	 13	 ”	 wp
27	 WP	 2	 。	 wp

正是按照这一精神，我们反复强调繁荣艺术创作并不是一般意义上的多创作和多上演一些剧目，而是要在已经实现的普遍繁荣的基础上不断创作出无愧于我们这个伟大时代的艺术精品。
0	 ADV	 1	 正是	 v
1	 ADV	 8	 按照	 p
2	 ATT	 3	 这	 r
3	 ATT	 4	 一	 m
4	 POB	 1	 精神	 n
5	 WP	 1	 ，	 wp
6	 SBV	 8	 我们	 r
7	 ADV	 8	 反复	 d
8	 HED	 -1	 强调	 v
9	 SBV	 14	 繁荣	 v
10	 FOB	 11	 艺术	 n
11	 VOB	 9	 创作	 v
12	 ADV	 14	 并	 d
13	 ADV	 14	 不	 d
14	 VOB	 8	 是	 v
15	 ATT	 16	 一般	 a
16	 ATT	 17	 意义	 n
17	 ATT	 20	 上	 nd
18	 RAD	 17	 的	 u
19	 ADV	 20	 多	 a
20	 VOB	 14	 创作	 v
21	 LAD	 23	 和	 c
22	 ADV	 23	 多	 a
23	 COO	 20	 上演	 v
24	 ATT	 25	 一些	 m
25	 VOB	 20	 剧目	 n
26	 WP	 14	 ，	 wp
27	 COO	 14	 而是	 c
28	 ADV	 39	 要	 v
29	 ADV	 39	 在	 p
30	 ADV	 31	 已经	 d
31	 ATT	 36	 实现	 v
32	 RAD	 31	 的	 u
33	 ATT	 36	 普遍	 a
34	 COO	 33	 繁荣	 a
35	 RAD	 33	 的	 u
36	 ATT	 37	 基础	 n
37	 POB	 29	 上	 nd
38	 ADV	 39	 不断	 d
39	 VOB	 27	 创作	 v
40	 CMP	 39	 出	 v
41	 ATT	 48	 无愧于	 v
42	 ATT	 47	 我们	 r
43	 ATT	 45	 这个	 r
44	 ATT	 45	 伟大	 a
45	 ATT	 47	 时代	 n
46	 RAD	 45	 的	 u
47	 ATT	 48	 艺术	 n
48	 VOB	 39	 精品	 n
49	 WP	 8	 。	 wp

因此，面对艺术创作普遍繁荣的局面，我们要求广大艺术工作者和各级文化主管部门的同志树立明确的精品意识，立足点更高一些，眼光更长远一些，为创作更多的艺术精品而不懈努力。
0	 ADV	 11	 因此	 c
1	 WP	 0	 ，	 wp
2	 ADV	 11	 面对	 v
3	 SBV	 4	 艺术	 n
4	 ATT	 8	 创作	 v
5	 ADV	 6	 普遍	 a
6	 COO	 4	 繁荣	 a
7	 RAD	 4	 的	 u
8	 VOB	 2	 局面	 n
9	 WP	 2	 ，	 wp
10	 SBV	 11	 我们	 r
11	 HED	 -1	 要求	 v
12	 ATT	 14	 广大	 b
13	 ATT	 14	 艺术	 n
14	 DBL	 11	 工作者	 n
15	 LAD	 21	 和	 c
16	 ATT	 21	 各级	 r
17	 FOB	 18	 文化	 n
18	 ATT	 21	 主管	 v
19	 VOB	 18	 部门	 n
20	 RAD	 18	 的	 u
21	 COO	 14	 同志	 n
22	 VOB	 11	 树立	 v
23	 ATT	 26	 明确	 a
24	 RAD	 23	 的	 u
25	 ATT	 26	 精品	 n
26	 VOB	 22	 意识	 n
27	 WP	 22	 ，	 wp
28	 SBV	 30	 立足点	 n
29	 ADV	 30	 更	 d
30	 COO	 22	 高	 a
31	 CMP	 30	 一些	 m
32	 WP	 30	 ，	 wp
33	 SBV	 35	 眼光	 n
34	 ADV	 35	 更	 d
35	 COO	 30	 长远	 a
36	 CMP	 35	 一些	 m
37	 WP	 22	 ，	 wp
38	 ADV	 46	 为	 p
39	 POB	 38	 创作	 v
40	 ADV	 41	 更	 d
41	 ATT	 44	 多	 a
42	 RAD	 41	 的	 u
43	 ATT	 44	 艺术	 n
44	 VOB	 39	 精品	 n
45	 ADV	 46	 而	 c
46	 COO	 22	 不懈努力	 i
47	 WP	 11	 。	 wp

            第二、正确处理艺术精品生产中思想性和艺术性的关系    正确认识艺术精品的标准，是我们实施精品战略，抓好精品生产首先要解决的问题之一。
0	 ADV	 14	 第二	 m
1	 WP	 14	 、	 wp
2	 ADV	 3	 正确	 a
3	 SBV	 14	 处理	 v
4	 ATT	 5	 艺术	 n
5	 ATT	 6	 精品	 n
6	 ATT	 7	 生产	 v
7	 ATT	 8	 中	 nd
8	 ATT	 12	 思想性	 n
9	 LAD	 10	 和	 c
10	 COO	 8	 艺术性	 n
11	 RAD	 8	 的	 u
12	 VOB	 3	 关系	 n
13	 ADV	 14	 正确	 a
14	 SBV	 20	 认识	 v
15	 ATT	 16	 艺术	 n
16	 ATT	 18	 精品	 n
17	 RAD	 16	 的	 u
18	 VOB	 14	 标准	 n
19	 WP	 14	 ，	 wp
20	 HED	 -1	 是	 v
21	 SBV	 22	 我们	 r
22	 VOB	 20	 实施	 v
23	 ATT	 24	 精品	 n
24	 VOB	 22	 战略	 n
25	 WP	 22	 ，	 wp
26	 COO	 22	 抓好	 v
27	 FOB	 28	 精品	 n
28	 ATT	 33	 生产	 v
29	 ADV	 31	 首先	 d
