【 日  期 】19960106【 版  号 】6【 标  题 】易学哲学与中西文化——访北京大学哲学系朱伯教授【 作  者 】胡欣【 正  文 】    （本报记者胡欣）    记者：朱先生，最近读了您的四卷本的《易学哲学史》，很有收获。
0	 ADV	 11	 ﻿	 v
57	 WP	 11	 。	 wp

中国哲学史从五四时期成为一门正式的学科以来，一直存在着经学与哲学分家的问题。
0	 ATT	 1	 中国	 ns
1	 SBV	 14	 哲学史	 n
2	 ADV	 14	 从	 p
3	 ATT	 4	 五四	 nt
4	 SBV	 5	 时期	 n
5	 ADV	 11	 成为	 v
6	 ATT	 7	 一	 m
7	 ATT	 10	 门	 q
8	 ATT	 10	 正式	 a
9	 RAD	 8	 的	 u
10	 VOB	 5	 学科	 n
11	 POB	 2	 以来	 nd
12	 WP	 2	 ，	 wp
13	 ADV	 14	 一直	 d
14	 HED	 -1	 存在	 v
15	 RAD	 14	 着	 u
16	 SBV	 19	 经学	 n
17	 LAD	 18	 与	 c
18	 COO	 16	 哲学	 n
19	 ATT	 21	 分家	 v
20	 RAD	 19	 的	 u
21	 VOB	 14	 问题	 n
22	 WP	 14	 。	 wp

您的著作突破了二者分家的局限，开辟了新的研究领域。
0	 ATT	 2	 您	 r
1	 RAD	 0	 的	 u
2	 SBV	 3	 著作	 n
3	 HED	 -1	 突破	 v
4	 RAD	 3	 了	 u
5	 SBV	 6	 二者	 r
6	 COO	 3	 分家	 v
7	 RAD	 6	 的	 u
8	 COO	 3	 局限	 v
9	 WP	 3	 ，	 wp
10	 COO	 3	 开辟	 v
11	 RAD	 10	 了	 u
12	 ATT	 15	 新	 a
13	 RAD	 12	 的	 u
14	 ATT	 15	 研究	 v
15	 VOB	 10	 领域	 n
16	 WP	 3	 。	 wp

您能不能谈一谈写作的初衷？    朱伯：就从书名说起罢！我的书是《易学哲学史》，不是“易学史”，也不是“哲学史”。
0	 SBV	 4	 您	 r
1	 ADV	 4	 能	 v
2	 ADV	 3	 不	 d
3	 ADV	 4	 能	 v
4	 HED	 -1	 谈	 v
5	 ADV	 6	 一	 m
6	 COO	 4	 谈	 v
7	 ATT	 9	 写作	 v
8	 RAD	 7	 的	 u
9	 VOB	 4	 初衷	 n
10	 WP	 4	 ？	 wp

您能不能谈一谈写作的初衷？    朱伯：就从书名说起罢！我的书是《易学哲学史》，不是“易学史”，也不是“哲学史”。
0	 SBV	 5	 朱伯	 nh
1	 WP	 0	 ：	 wp
2	 ADV	 5	 就	 d
3	 ADV	 5	 从	 p
4	 POB	 3	 书名	 n
5	 HED	 -1	 说	 v
6	 CMP	 5	 起	 v
7	 RAD	 5	 罢	 u
8	 WP	 5	 ！	 wp

您能不能谈一谈写作的初衷？    朱伯：就从书名说起罢！我的书是《易学哲学史》，不是“易学史”，也不是“哲学史”。
0	 ATT	 2	 我	 r
1	 RAD	 0	 的	 u
2	 SBV	 3	 书	 n
3	 HED	 -1	 是	 v
4	 WP	 6	 《	 wp
5	 ATT	 6	 易学	 a
6	 VOB	 3	 哲学史	 n
7	 WP	 6	 》	 wp
8	 WP	 3	 ，	 wp
9	 ADV	 10	 不	 d
10	 COO	 3	 是	 v
11	 WP	 12	 “	 wp
12	 VOB	 10	 易学史	 n
13	 WP	 12	 ”	 wp
14	 WP	 10	 ，	 wp
15	 ADV	 17	 也	 d
16	 ADV	 17	 不	 d
17	 COO	 10	 是	 v
18	 WP	 19	 “	 wp
19	 VOB	 17	 哲学史	 n
20	 WP	 19	 ”	 wp
21	 WP	 10	 。	 wp

易学史属于经学史，是研究易学的注释历史以及演变过程的；哲学史属于哲学。
0	 SBV	 1	 易学史	 n
1	 HED	 -1	 属于	 v
2	 VOB	 1	 经学史	 n
3	 WP	 1	 ，	 wp
4	 COO	 1	 是	 v
5	 ATT	 12	 研究	 v
6	 ATT	 9	 易学	 a
7	 RAD	 6	 的	 u
8	 ATT	 9	 注释	 n
9	 VOB	 5	 历史	 n
10	 LAD	 11	 以及	 c
11	 COO	 5	 演变	 v
12	 VOB	 4	 过程	 n
13	 RAD	 12	 的	 u
14	 WP	 1	 ；	 wp

易学史属于经学史，是研究易学的注释历史以及演变过程的；哲学史属于哲学。
0	 SBV	 1	 哲学史	 n
1	 HED	 -1	 属于	 v
2	 VOB	 1	 哲学	 n
3	 WP	 1	 。	 wp

中国哲学史有自己的特色，它是和经学史搅合在一起的。
0	 ATT	 1	 中国	 ns
1	 SBV	 2	 哲学史	 n
2	 HED	 -1	 有	 v
3	 ATT	 5	 自己	 r
4	 RAD	 3	 的	 u
5	 VOB	 2	 特色	 n
6	 WP	 2	 ，	 wp
7	 SBV	 8	 它	 r
8	 COO	 2	 是	 v
9	 ADV	 11	 和	 p
10	 POB	 9	 经学史	 n
11	 VOB	 8	 搅合	 v
12	 CMP	 11	 在	 p
13	 POB	 12	 一起	 nl
14	 RAD	 11	 的	 u
15	 WP	 2	 。	 wp

历史上搞经学的人没有哲学素养，不讲哲学；现代人受西方哲学的影响，撇开经学史讲哲学，缺乏中国自己的特色。
0	 ATT	 1	 历史	 n
1	 ADV	 6	 上	 nd
2	 ATT	 5	 搞	 v
3	 VOB	 2	 经学	 n
4	 RAD	 2	 的	 u
5	 SBV	 6	 人	 n
6	 HED	 -1	 没有	 v
7	 ATT	 8	 哲学	 n
8	 VOB	 6	 素养	 n
9	 WP	 6	 ，	 wp
10	 ADV	 11	 不	 d
11	 COO	 6	 讲	 v
12	 VOB	 11	 哲学	 n
13	 WP	 6	 ；	 wp

历史上搞经学的人没有哲学素养，不讲哲学；现代人受西方哲学的影响，撇开经学史讲哲学，缺乏中国自己的特色。
0	 SBV	 1	 现代人	 n
1	 HED	 -1	 受	 v
2	 ATT	 3	 西方	 nl
3	 ATT	 5	 哲学	 n
4	 RAD	 3	 的	 u
5	 VOB	 1	 影响	 v
6	 WP	 1	 ，	 wp
7	 COO	 1	 撇开	 v
8	 VOB	 7	 经学史	 n
9	 COO	 7	 讲	 v
10	 VOB	 9	 哲学	 n
11	 WP	 1	 ，	 wp
12	 COO	 1	 缺乏	 v
13	 ATT	 16	 中国	 ns
14	 ATT	 16	 自己	 r
15	 RAD	 14	 的	 u
16	 VOB	 12	 特色	 n
17	 WP	 1	 。	 wp

我的书从经学的发展中探讨哲学问题，是个突破。
0	 ATT	 2	 我	 r
1	 RAD	 0	 的	 u
2	 SBV	 8	 书	 n
3	 ADV	 8	 从	 p
4	 ATT	 6	 经学	 n
5	 RAD	 4	 的	 u
6	 ATT	 7	 发展	 v
7	 POB	 3	 中	 nd
8	 HED	 -1	 探讨	 v
9	 ATT	 10	 哲学	 n
10	 VOB	 8	 问题	 n
11	 WP	 8	 ，	 wp
12	 COO	 8	 是	 v
13	 ADV	 14	 个	 q
14	 VOB	 12	 突破	 v
15	 WP	 8	 。	 wp

当然，它探讨的是易学发展中的哲学问题，还不能完全代替哲学史。
0	 ADV	 5	 当然	 d
1	 WP	 0	 ，	 wp
2	 SBV	 3	 它	 r
3	 SBV	 5	 探讨	 v
4	 RAD	 3	 的	 u
5	 HED	 -1	 是	 v
6	 ADV	 7	 易学	 a
7	 ATT	 8	 发展	 v
8	 ATT	 11	 中	 nd
9	 RAD	 8	 的	 u
10	 ATT	 11	 哲学	 n
11	 VOB	 5	 问题	 n
12	 WP	 5	 ，	 wp
13	 ADV	 15	 还	 d
14	 ADV	 15	 不	 d
15	 ADV	 17	 能	 v
16	 ADV	 17	 完全	 a
17	 COO	 5	 代替	 v
18	 VOB	 17	 哲学史	 n
19	 WP	 5	 。	 wp

早先我读冯友兰先生的《中国哲学史》，觉得讲王弼的玄学不讲他的易学，讲程颐的理学不讲《程氏易传》，是个缺陷。
0	 ADV	 2	 早先	 nt
1	 SBV	 2	 我	 r
2	 HED	 -1	 读	 v
3	 ATT	 4	 冯友兰	 nh
4	 ATT	 8	 先生	 n
5	 RAD	 4	 的	 u
6	 WP	 8	 《	 wp
7	 ATT	 8	 中国	 ns
8	 VOB	 2	 哲学史	 n
9	 WP	 8	 》	 wp
10	 WP	 2	 ，	 wp
11	 COO	 2	 觉得	 v
12	 ATT	 15	 讲	 v
13	 VOB	 12	 王弼	 nh
14	 RAD	 12	 的	 u
15	 SBV	 17	 玄学	 n
16	 ADV	 17	 不	 d
17	 ATT	 20	 讲	 v
18	 VOB	 17	 他	 r
19	 RAD	 17	 的	 u
20	 VOB	 11	 易学	 a
21	 WP	 2	 ，	 wp
22	 ATT	 25	 讲	 v
23	 VOB	 22	 程颐	 nh
24	 RAD	 22	 的	 u
25	 SBV	 27	 理学	 n
26	 ADV	 27	 不	 d
27	 COO	 2	 讲	 v
28	 WP	 30	 《	 wp
29	 SBV	 30	 程氏	 nh
30	 COO	 27	 易传	 v
31	 WP	 30	 》	 wp
32	 WP	 27	 ，	 wp
33	 COO	 27	 是	 v
34	 ATT	 35	 个	 q
35	 VOB	 33	 缺陷	 n
36	 WP	 2	 。	 wp

我曾就这个问题跟冯先生谈过，他也承认我说的对；但又说易学属于经学史的范围，有专门的术语、问题和体系，很复杂，要弄清它，得花很长的时间，所以讲一般哲学史只能选一些概念、命题进行讨论。
0	 SBV	 8	 我	 r
1	 ADV	 8	 曾	 d
2	 ADV	 8	 就	 p
3	 ATT	 4	 这个	 r
4	 POB	 2	 问题	 n
5	 ADV	 8	 跟	 p
6	 ATT	 7	 冯	 nh
7	 POB	 5	 先生	 n
8	 HED	 -1	 谈	 v
9	 RAD	 8	 过	 u
10	 WP	 8	 ，	 wp
11	 SBV	 13	 他	 r
12	 ADV	 13	 也	 d
13	 COO	 8	 承认	 v
14	 SBV	 15	 我	 r
15	 VOB	 13	 说	 v
16	 RAD	 15	 的	 u
17	 CMP	 13	 对	 a
18	 WP	 8	 ；	 wp

我曾就这个问题跟冯先生谈过，他也承认我说的对；但又说易学属于经学史的范围，有专门的术语、问题和体系，很复杂，要弄清它，得花很长的时间，所以讲一般哲学史只能选一些概念、命题进行讨论。
0	 ADV	 2	 但	 c
1	 ADV	 2	 又	 d
2	 HED	 -1	 说	 v
3	 ADV	 4	 易学	 a
4	 VOB	 2	 属于	 v
5	 ATT	 7	 经学史	 n
6	 RAD	 5	 的	 u
7	 VOB	 4	 范围	 n
8	 WP	 4	 ，	 wp
9	 COO	 4	 有	 v
10	 ATT	 12	 专门	 b
11	 RAD	 10	 的	 u
12	 VOB	 9	 术语	 n
13	 WP	 14	 、	 wp
14	 COO	 12	 问题	 n
15	 LAD	 16	 和	 c
16	 COO	 12	 体系	 n
17	 WP	 4	 ，	 wp
18	 ADV	 19	 很	 d
19	 COO	 4	 复杂	 a
20	 WP	 4	 ，	 wp
21	 ADV	 22	 要	 v
22	 COO	 4	 弄清	 v
23	 VOB	 22	 它	 r
24	 WP	 4	 ，	 wp
25	 COO	 4	 得	 v
26	 SBV	 28	 花	 n
27	 ADV	 28	 很	 d
28	 ATT	 30	 长	 a
29	 RAD	 28	 的	 u
30	 VOB	 25	 时间	 n
31	 WP	 4	 ，	 wp
32	 ADV	 37	 所以	 c
33	 ADV	 37	 讲	 v
34	 ATT	 35	 一般	 a
35	 VOB	 33	 哲学史	 n
36	 ADV	 37	 只能	 v
37	 ADV	 42	 选	 v
38	 ATT	 39	 一些	 m
39	 VOB	 37	 概念	 n
40	 WP	 41	 、	 wp
41	 COO	 39	 命题	 n
42	 COO	 4	 进行	 v
43	 VOB	 42	 讨论	 v
44	 WP	 2	 。	 wp

后来，冯先生写《中国哲学史新编》，补了程颐的“体用一源，显微无间”一节。
0	 ADV	 4	 后来	 nt
1	 WP	 0	 ，	 wp
2	 ATT	 3	 冯	 nh
3	 SBV	 4	 先生	 n
4	 HED	 -1	 写	 v
5	 WP	 8	 《	 wp
6	 ATT	 7	 中国	 ns
7	 SBV	 8	 哲学史	 n
8	 COO	 4	 新编	 v
9	 WP	 8	 》	 wp
10	 WP	 4	 ，	 wp
11	 COO	 4	 补	 v
12	 RAD	 11	 了	 u
13	 VOB	 11	 程颐	 nh
14	 RAD	 11	 的	 u
15	 WP	 17	 “	 wp
16	 SBV	 17	 体	 n
17	 VOB	 4	 用	 p
18	 ATT	 19	 一	 m
19	 VOB	 17	 源	 n
20	 WP	 17	 ，	 wp
21	 ATT	 24	 显微无间	 i
22	 WP	 21	 ”	 wp
23	 ATT	 24	 一	 m
24	 COO	 17	 节	 q
25	 WP	 4	 。	 wp

其他的，如张载、王夫之的哲学，其实都是围绕易学展开的。
0	 ATT	 8	 其他	 r
1	 RAD	 0	 的	 u
2	 WP	 0	 ，	 wp
3	 ATT	 8	 如	 v
4	 POB	 3	 张载	 nh
5	 WP	 6	 、	 wp
6	 COO	 4	 王夫之	 nh
7	 RAD	 4	 的	 u
8	 SBV	 12	 哲学	 n
9	 WP	 8	 ，	 wp
10	 ADV	 12	 其实	 d
11	 ADV	 12	 都	 d
12	 HED	 -1	 是	 v
13	 VOB	 12	 围绕	 v
14	 VOB	 13	 易学	 a
15	 COO	 13	 展开	 v
16	 RAD	 13	 的	 u
17	 WP	 12	 。	 wp

《正蒙》、《周易外传》，都是易学著作。
0	 WP	 1	 《	 wp
1	 SBV	 10	 正蒙	 n
2	 WP	 1	 》	 wp
3	 WP	 6	 、	 wp
4	 WP	 6	 《	 wp
5	 ATT	 6	 周易	 nh
6	 COO	 1	 外传	 n
7	 WP	 6	 》	 wp
8	 WP	 1	 ，	 wp
9	 ADV	 10	 都	 d
10	 HED	 -1	 是	 v
11	 ATT	 12	 易学	 a
12	 VOB	 10	 著作	 n
13	 WP	 10	 。	 wp

总之，无论是讲理本论还是气本论，都离不开易学，因为理、气本身就是易学的问题。
0	 ADV	 9	 总之	 c
1	 WP	 0	 ，	 wp
2	 ADV	 3	 无论是	 c
3	 SBV	 9	 讲理	 v
4	 VOB	 3	 本论	 n
5	 COO	 3	 还是	 c
6	 VOB	 5	 气本论	 n
7	 WP	 3	 ，	 wp
8	 ADV	 9	 都	 d
9	 HED	 -1	 离	 v
10	 ADV	 11	 不	 d
11	 CMP	 9	 开	 v
12	 CMP	 11	 易学	 a
13	 WP	 11	 ，	 wp
14	 ADV	 20	 因为	 c
15	 ATT	 18	 理	 n
16	 WP	 17	 、	 wp
17	 COO	 15	 气	 n
18	 ADV	 20	 本身	 r
19	 ADV	 20	 就	 d
20	 COO	 11	 是	 v
21	 ATT	 23	 易学	 a
22	 RAD	 21	 的	 u
23	 VOB	 20	 问题	 n
24	 WP	 11	 。	 wp

这几十年讲中国哲学史，都有脱开易学的不足，这是因为冯先生两卷本的哲学史开创了先例，后者都是照他的架子发挥。
0	 ATT	 2	 这	 r
1	 ATT	 2	 几十	 m
2	 ADV	 3	 年	 q
3	 HED	 -1	 讲	 v
4	 ATT	 5	 中国	 ns
5	 VOB	 3	 哲学史	 n
6	 WP	 3	 ，	 wp
7	 ADV	 8	 都	 d
8	 COO	 3	 有	 v
9	 SBV	 13	 脱	 v
10	 CMP	 9	 开	 v
11	 CMP	 10	 易学	 a
12	 RAD	 9	 的	 u
13	 VOB	 8	 不足	 a
14	 WP	 3	 ，	 wp
15	 SBV	 16	 这	 r
16	 COO	 3	 是	 v
17	 ADV	 25	 因为	 p
18	 ATT	 19	 冯	 nh
19	 ATT	 22	 先生	 n
20	 ATT	 21	 两	 m
21	 ATT	 22	 卷	 q
22	 ATT	 24	 本	 n
23	 RAD	 22	 的	 u
24	 SBV	 25	 哲学史	 n
25	 VOB	 16	 开创	 v
26	 RAD	 25	 了	 u
27	 VOB	 25	 先例	 n
28	 WP	 16	 ，	 wp
29	 SBV	 31	 后者	 r
30	 ADV	 31	 都	 d
31	 COO	 16	 是	 v
32	 ADV	 36	 照	 v
33	 ATT	 35	 他	 r
34	 RAD	 33	 的	 u
35	 VOB	 32	 架子	 n
36	 VOB	 31	 发挥	 v
37	 WP	 3	 。	 wp

当时，我觉得研究中国哲学，不能避开易学，否则就不到家。
0	 ADV	 3	 当时	 nt
1	 WP	 0	 ，	 wp
2	 SBV	 3	 我	 r
3	 HED	 -1	 觉得	 v
4	 VOB	 3	 研究	 v
5	 ATT	 6	 中国	 ns
6	 VOB	 4	 哲学	 n
7	 WP	 3	 ，	 wp
8	 ADV	 9	 不	 d
9	 ADV	 10	 能	 v
10	 COO	 3	 避开	 v
11	 VOB	 10	 易学	 a
12	 WP	 3	 ，	 wp
13	 ADV	 16	 否则	 c
14	 ADV	 16	 就	 d
15	 ADV	 16	 不	 d
16	 COO	 3	 到	 v
17	 VOB	 16	 家	 n
18	 WP	 3	 。	 wp

１９６５年，我写《王夫之论本体和现象》一文，算是研究易学哲学的开始。
0	 ADV	 3	 １９６５年	 nt
1	 WP	 0	 ，	 wp
2	 SBV	 3	 我	 r
3	 HED	 -1	 写	 v
4	 WP	 6	 《	 wp
5	 ATT	 6	 王夫之论	 nh
6	 ATT	 11	 本体	 n
7	 LAD	 8	 和	 c
8	 COO	 6	 现象	 n
9	 WP	 6	 》	 wp
10	 ATT	 11	 一	 m
11	 VOB	 3	 文	 n
12	 WP	 3	 ，	 wp
13	 ADV	 18	 算是	 v
14	 VOB	 13	 研究	 v
15	 ATT	 16	 易学	 a
16	 VOB	 14	 哲学	 n
17	 RAD	 13	 的	 u
18	 COO	 3	 开始	 v
19	 WP	 3	 。	 wp

８０年代初，我给北大哲学系的研究生开易学哲学史的课程，在讲稿的基础上又用了８年的时间，才算把《易学哲学史》写出来。
0	 ATT	 1	 ８０	 m
1	 ATT	 2	 年代	 n
2	 ADV	 10	 初	 nd
3	 WP	 2	 ，	 wp
4	 SBV	 10	 我	 r
5	 ADV	 10	 给	 p
6	 ATT	 7	 北大	 j
7	 ATT	 9	 哲学系	 n
8	 RAD	 7	 的	 u
9	 POB	 5	 研究生	 n
10	 HED	 -1	 开	 v
11	 ATT	 12	 易学	 a
12	 ATT	 14	 哲学史	 n
13	 RAD	 12	 的	 u
14	 VOB	 10	 课程	 n
15	 WP	 10	 ，	 wp
16	 ADV	 22	 在	 p
17	 ATT	 19	 讲稿	 n
18	 RAD	 17	 的	 u
19	 ATT	 20	 基础	 n
20	 POB	 16	 上	 nd
21	 ADV	 22	 又	 d
22	 COO	 10	 用	 v
23	 RAD	 22	 了	 u
24	 ATT	 25	 ８	 m
25	 ATT	 27	 年	 q
26	 RAD	 25	 的	 u
27	 VOB	 22	 时间	 n
28	 WP	 10	 ，	 wp
29	 ADV	 30	 才	 c
30	 COO	 10	 算	 v
31	 ADV	 36	 把	 p
32	 WP	 34	 《	 wp
33	 ATT	 34	 易学	 a
34	 POB	 31	 哲学史	 n
35	 WP	 34	 》	 wp
36	 VOB	 30	 写	 v
37	 CMP	 36	 出来	 v
38	 WP	 10	 。	 wp

    记者：近些年易学研究在海内外很热。
0	 SBV	 4	 记者	 n
1	 WP	 0	 ：	 wp
2	 ADV	 4	 近些年	 nt
3	 ADV	 4	 易学	 a
4	 HED	 -1	 研究	 v
5	 ADV	 8	 在	 p
6	 POB	 5	 海内外	 nl
7	 ADV	 8	 很	 d
8	 VOB	 4	 热	 a
9	 WP	 4	 。	 wp

那么，易学、易学哲学在中国哲学、中国文化的发展中占什么地位，有什么影响？    朱伯：《易经》本身是个占卜的书，占卜是一种迷信，仅此不会有太大影响。
0	 ADV	 15	 那么	 c
1	 WP	 0	 ，	 wp
2	 ATT	 5	 易学	 a
3	 WP	 4	 、	 wp
4	 COO	 2	 易学	 a
5	 SBV	 15	 哲学	 n
6	 ADV	 15	 在	 p
7	 ATT	 8	 中国	 ns
8	 SBV	 13	 哲学	 n
9	 WP	 11	 、	 wp
10	 ATT	 11	 中国	 ns
11	 COO	 8	 文化	 n
12	 RAD	 8	 的	 u
13	 ATT	 14	 发展	 v
14	 POB	 6	 中	 nd
15	 HED	 -1	 占	 v
16	 ATT	 17	 什么	 r
17	 VOB	 15	 地位	 n
18	 WP	 15	 ，	 wp
19	 COO	 15	 有	 v
20	 VOB	 19	 什么	 r
21	 VOB	 19	 影响	 v
22	 WP	 15	 ？	 wp

那么，易学、易学哲学在中国哲学、中国文化的发展中占什么地位，有什么影响？    朱伯：《易经》本身是个占卜的书，占卜是一种迷信，仅此不会有太大影响。
0	 ATT	 3	 朱伯	 nh
1	 WP	 0	 ：	 wp
2	 WP	 3	 《	 wp
3	 SBV	 6	 易经	 n
4	 WP	 3	 》	 wp
5	 SBV	 6	 本身	 r
6	 HED	 -1	 是	 v
7	 ATT	 10	 个	 q
8	 ATT	 10	 占卜	 v
9	 RAD	 8	 的	 u
10	 VOB	 6	 书	 n
11	 WP	 6	 ，	 wp
12	 SBV	 13	 占卜	 v
13	 COO	 6	 是	 v
14	 ATT	 15	 一	 m
15	 ATT	 16	 种	 q
16	 VOB	 13	 迷信	 v
17	 WP	 13	 ，	 wp
18	 ADV	 22	 仅	 d
19	 POB	 18	 此	 r
20	 ADV	 21	 不	 d
21	 ADV	 22	 会	 v
22	 COO	 13	 有	 v
23	 ADV	 24	 太	 d
24	 ATT	 25	 大	 a
25	 VOB	 22	 影响	 v
26	 WP	 6	 。	 wp

《易传》把它哲理化了，这使得它能够对中国的哲学、文化产生影响。
0	 WP	 1	 《	 wp
1	 SBV	 5	 易传	 nh
2	 WP	 1	 》	 wp
3	 ADV	 5	 把	 p
4	 POB	 3	 它	 r
5	 HED	 -1	 哲理化	 v
6	 RAD	 5	 了	 u
7	 WP	 5	 ，	 wp
8	 SBV	 9	 这	 r
9	 COO	 5	 使得	 v
10	 DBL	 9	 它	 r
11	 ADV	 18	 能够	 v
12	 ADV	 18	 对	 p
13	 ATT	 15	 中国	 ns
14	 RAD	 13	 的	 u
15	 POB	 12	 哲学	 n
16	 WP	 17	 、	 wp
17	 COO	 15	 文化	 n
18	 VOB	 9	 产生	 v
19	 VOB	 18	 影响	 v
20	 WP	 9	 。	 wp

过去，读书人都读它，尤其是《易传》，这是官方规定的。
0	 ADV	 4	 过去	 nt
1	 WP	 0	 ，	 wp
2	 SBV	 4	 读书人	 n
3	 ADV	 4	 都	 d
4	 HED	 -1	 读	 v
5	 VOB	 4	 它	 r
6	 WP	 4	 ，	 wp
7	 ADV	 8	 尤其	 d
8	 COO	 4	 是	 v
9	 WP	 10	 《	 wp
10	 VOB	 8	 易传	 v
11	 WP	 10	 》	 wp
12	 WP	 8	 ，	 wp
13	 SBV	 14	 这	 r
14	 COO	 8	 是	 v
15	 SBV	 16	 官方	 n
16	 VOB	 14	 规定	 v
17	 RAD	 16	 的	 u
18	 WP	 8	 。	 wp

对哲学影响最大的是它的阴阳观，阴阳本来是解释卦爻象的，但又不限于此。
0	 ADV	 4	 对	 p
1	 POB	 0	 哲学	 n
2	 SBV	 4	 影响	 v
3	 ADV	 4	 最	 d
4	 SBV	 6	 大	 a
5	 RAD	 4	 的	 u
6	 HED	 -1	 是	 v
7	 ATT	 9	 它	 r
8	 RAD	 7	 的	 u
9	 VOB	 6	 阴阳观	 n
10	 WP	 6	 ，	 wp
11	 SBV	 13	 阴阳	 n
12	 ADV	 13	 本来	 d
13	 COO	 6	 是	 v
14	 VOB	 13	 解释卦	 v
15	 VOB	 14	 爻象	 n
16	 RAD	 14	 的	 u
17	 WP	 13	 ，	 wp
18	 ADV	 21	 但	 c
19	 ADV	 21	 又	 d
20	 ADV	 21	 不	 d
21	 COO	 13	 限于	 v
22	 VOB	 21	 此	 r
23	 WP	 6	 。	 wp

任何事物都有阴阳，任何变化都离不开阴阳，阴阳相反相成，《易传》的这种阴阳观影响了整个中国哲学文化的发展。
0	 ATT	 1	 任何	 r
1	 SBV	 3	 事物	 n
2	 ADV	 3	 都	 d
3	 HED	 -1	 有	 v
4	 VOB	 3	 阴阳	 b
5	 WP	 3	 ，	 wp
6	 ADV	 7	 任何	 r
7	 SBV	 9	 变化	 v
8	 ADV	 9	 都	 d
9	 COO	 3	 离	 v
10	 ADV	 11	 不	 d
11	 CMP	 9	 开	 v
12	 VOB	 9	 阴阳	 n
13	 WP	 3	 ，	 wp
14	 SBV	 15	 阴阳	 b
15	 COO	 3	 相反	 v
16	 ADV	 17	 相	 d
17	 CMP	 15	 成	 v
18	 WP	 3	 ，	 wp
19	 WP	 20	 《	 wp
20	 ATT	 24	 易传	 v
21	 WP	 20	 》	 wp
22	 RAD	 20	 的	 u
23	 ATT	 24	 这种	 r
24	 SBV	 25	 阴阳观	 n
25	 COO	 3	 影响	 v
26	 RAD	 25	 了	 u
27	 ATT	 30	 整个	 b
28	 ATT	 29	 中国	 ns
29	 ATT	 30	 哲学	 n
30	 ATT	 32	 文化	 n
31	 RAD	 30	 的	 u
32	 VOB	 25	 发展	 v
33	 WP	 3	 。	 wp

其次，中国的宇宙论、本体论以及形而上学体系，基本上是围绕《易传》提出的范畴、命题展开的。
0	 ADV	 12	 其次	 c
1	 WP	 0	 ，	 wp
2	 ATT	 4	 中国	 ns
3	 RAD	 2	 的	 u
4	 SBV	 12	 宇宙论	 n
5	 WP	 6	 、	 wp
6	 COO	 4	 本体论	 n
7	 LAD	 9	 以及	 c
8	 ATT	 9	 形而上学	 n
9	 COO	 4	 体系	 n
10	 WP	 4	 ，	 wp
11	 ADV	 12	 基本上	 d
12	 HED	 -1	 是	 v
13	 VOB	 12	 围绕	 v
14	 WP	 15	 《	 wp
15	 VOB	 13	 易传	 n
16	 WP	 15	 》	 wp
17	 ATT	 19	 提出	 v
18	 RAD	 17	 的	 u
19	 ADV	 22	 范畴	 n
20	 WP	 21	 、	 wp
21	 COO	 19	 命题	 n
22	 COO	 13	 展开	 v
23	 RAD	 13	 的	 u
24	 WP	 12	 。	 wp

